t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,cobertura_puntual,ancho_medio
2,21,11,train,20,False,1.4260757314959627,1.1941841279702066,1.6005592813337963,0.9886666666666667,9.579712885883001
3,22,12,train,20,False,2.129609260475477,1.4593180806374864,1.7405606636229156,0.9453333333333334,9.605330681545938
4,23,13,train,20,False,2.14355518909712,1.4640885181904542,1.677599768998373,0.9453333333333334,9.537508573599302
5,24,14,train,20,False,2.4030094374121376,1.550164325938427,1.666063186744569,0.9453333333333334,9.561897100318083
6,25,15,train,20,False,2.6021341570169003,1.6131131879123983,1.5066817490618696,0.9453333333333334,9.435834918925245
7,26,16,train,20,False,2.8400585609245144,1.6852473293034806,1.423607766149135,0.9453333333333334,9.557677429164341
8,27,17,train,20,False,2.8358135838466536,1.6839874060831492,1.4194169920670727,0.9453333333333334,9.438662714937173
9,28,18,train,20,False,2.6273858493250613,1.6209212964623116,1.3279571485124249,0.9566666666666667,9.416534729484857
10,29,19,train,20,False,2.6800879645997875,1.6370974206197344,1.4032006977772322,0.9566666666666667,9.489394985920109
11,30,20,train,20,False,2.6443017469294032,1.6261309132199053,1.3476782607221465,0.9566666666666667,9.370036344808007
12,31,21,train,20,False,2.432635090043489,1.5596907033266207,1.1981781597594836,0.9566666666666667,9.348769193716453
13,32,22,train,20,False,2.4004365726703543,1.5493342352992636,1.176896694032788,0.9566666666666667,9.422679905119438
14,33,23,train,20,False,2.414786988868697,1.5539584900725942,1.1448009279802225,0.9566666666666667,9.457572060785417
15,34,24,train,20,False,2.7224637152567697,1.6499890045866275,1.232458717307778,0.9566666666666667,9.437758454027648
16,35,25,train,20,False,2.677364708692896,1.6362654762271602,1.2264484714793993,0.9566666666666667,9.346163561042227
17,36,26,train,20,False,2.7019674055364633,1.6437662259386105,1.2258037730051234,0.9566666666666667,9.287966708299239
18,37,27,train,20,False,2.731668022600358,1.6527758537080453,1.237395271734514,0.9566666666666667,9.34155114077524
19,38,28,train,20,False,2.778618121773326,1.6669187508014078,1.2540647061418086,0.9566666666666667,9.3920924184389
20,39,29,train,20,False,2.640767596277485,1.6250438751853702,1.231776394456754,0.9566666666666667,9.435744959774468
21,40,30,train,20,False,2.634153210708533,1.6230074586114918,1.2609677603284613,0.9566666666666667,9.488028330831892
22,41,31,train,20,False,3.0787700610818467,1.754642431118616,1.3670423481418972,0.9566666666666667,9.4599082907427
23,42,32,train,20,False,2.382016157526384,1.5433781641342423,1.2519865824840455,1.0,9.501034483321792
24,43,33,train,20,False,2.4082167394692884,1.5518430137965915,1.3125139939690516,1.0,9.475578681619984
25,44,34,train,20,False,2.1127261719921093,1.4535219888230482,1.275993670042217,1.0,9.397391135350414
26,45,35,train,20,False,1.9415352296925683,1.393389834071057,1.4205301920052957,1.0,9.476891778454167
27,46,36,train,20,False,1.658261071855311,1.2877348608526955,1.4947517724334838,1.0,9.29712765285961
28,47,37,train,20,False,1.5668732532637466,1.2517480789934317,1.4810067764958883,1.0,9.40852248615087
29,48,38,train,20,False,1.5461547010223913,1.2434446915815722,1.4406684276029629,1.0,9.481128420310966
30,49,39,train,20,False,1.4561682593513399,1.2067179700954733,1.2370635881213443,1.0,9.458954884999905
31,50,40,train,20,False,1.5593432922631254,1.248736678512778,1.3858774379514713,1.0,9.494981749773181
32,51,41,train,20,False,1.5583774454214374,1.2483498890220792,1.4689395845778135,1.0,9.432896756679074
33,52,42,train,20,False,1.5644641721023695,1.2507854220858066,1.470597491297437,1.0,9.411763430091005
34,53,43,train,20,False,1.6022819054937263,1.2658127450352703,1.627566197004095,1.0,9.424989836798922
35,54,44,train,20,False,1.2301638251646358,1.109127506269967,1.309905194955427,1.0,9.435716155527306
36,55,45,train,20,False,1.4240581503033194,1.1933390759978153,1.468928537754282,1.0,9.523402042245083
37,56,46,train,20,False,1.5077845865143344,1.2279188028995787,1.478471591826099,1.0,9.471395794224824
