t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,modelo
2,11,6,train,10,False,2.573744461479861,1.604289394554443,2.7213519568303655,VAR
3,12,7,train,10,False,2.4699206381458696,1.571598115978086,3.000224843265936,VAR
4,13,8,train,10,False,2.1947903465190506,1.481482482690582,2.8125345809150097,VAR
5,14,9,train,10,False,2.286705214879736,1.5121855755428089,2.841377987569846,VAR
6,15,10,train,10,False,2.4564142511907567,1.5672952023121736,2.9007190568776506,VAR
7,16,11,train,10,False,2.6858768430175046,1.6388644980648963,3.3211378397509073,VAR
8,17,12,train,10,False,2.6807941209327772,1.637313079692695,3.7714952473683327,VAR
9,18,13,train,10,False,2.7052846246609126,1.6447749465081576,7.05889138201111,VAR
10,19,14,train,10,False,2.391528485037585,1.5464567517514303,5.860788119999948,VAR
11,20,15,train,10,False,2.5823007766540087,1.606953881308984,4.909376732907435,VAR
12,21,16,train,10,False,1.9306961314639093,1.389494919553112,2.615755701928847,VAR
13,22,17,train,10,False,3.4593477234605254,1.8599321824895996,2.2322668551769493,VAR
14,23,18,train,10,False,3.688213908356782,1.920472313874059,2.1591785107662687,VAR
15,24,19,train,10,False,3.8365410148964614,1.958709017413373,1.8555452162408843,VAR
16,25,20,train,10,False,4.0838188440464105,2.0208460713390344,1.6078335079011465,VAR
17,26,21,train,10,False,4.069901719608341,2.0173997421454035,1.3105326144276925,VAR
18,27,22,train,10,False,4.137255384373352,2.0340244306235244,1.3143727221639494,VAR
19,28,23,train,10,False,3.8667049734998025,1.966393900900784,1.125214434223723,VAR
20,29,24,train,10,False,3.6733097424294905,1.9165880471372794,1.0992634592116306,VAR
21,30,25,train,10,False,3.4646281420117746,1.861351160316552,1.0433263235303454,VAR
22,31,26,train,10,False,3.4885099802888355,1.8677553320199183,1.0920563640819632,VAR
23,32,27,train,10,False,1.9529147188039762,1.3974672514245106,0.8057365019233262,VAR
24,33,28,train,10,False,1.8030612821858387,1.3427811743489104,0.7320564514137738,VAR
25,34,29,train,10,False,2.1987921791178344,1.4828324851842956,0.9876057502501592,VAR
26,35,30,train,10,False,1.6601274819313503,1.2884593443067385,0.9218766276909977,VAR
27,36,31,train,10,False,1.5706087627745309,1.2532393078636381,1.4824968589207161,VAR
28,37,32,train,10,False,1.8593836479437371,1.3635921853485877,2.213831987585927,VAR
29,38,33,train,10,False,2.27809779005704,1.509336870965869,2.6930101535120294,VAR
30,39,34,train,10,False,2.1689092153294807,1.4727217032859536,2.5702497997068265,VAR
31,40,35,train,10,False,2.167973276286898,1.4724039107143454,2.749562699642609,VAR
32,41,36,train,10,False,2.7288816966188856,1.6519327155241177,2.1384862648037912,VAR
33,42,37,train,10,False,2.7319991776453305,1.6528760321467943,2.2644943787714187,VAR
34,43,38,train,10,False,2.6984902163826887,1.6427081957495338,2.9398523636074527,VAR
35,44,39,train,10,False,1.8921976277287413,1.3755717457583743,2.3112706592124415,VAR
36,45,40,train,10,False,1.9310226937836348,1.3896124257445437,2.571671035884779,VAR
37,46,41,train,10,False,1.7337151394722679,1.3167061705149967,2.077008980542511,VAR
38,47,42,train,10,False,1.5176039494064293,1.2319106905155217,1.742992850517953,VAR
39,48,43,train,10,False,1.099496933477071,1.0485689931888464,0.9334477470952451,VAR
40,49,44,train,10,False,1.0477654227773299,1.0236041338219233,0.7253040332826629,VAR
41,50,45,train,10,False,1.2509043564308566,1.11843835611573,0.8759404760487449,VAR
42,51,46,train,10,False,0.6667627064499182,0.8165553909257585,0.9421282718561295,VAR
43,52,47,train,10,False,0.667158718459841,0.81679784430411,1.0406240865734808,VAR
44,53,48,train,10,False,0.6546558112260394,0.8091080343353658,1.117672721344993,VAR
45,54,49,train,10,False,0.6404970067337633,0.8003105689254412,1.2895716014743122,VAR
46,55,50,train,10,False,1.014950398488152,1.0074474668627402,1.6625966267198922,VAR
47,56,51,train,10,False,1.1604448397209168,1.0772394532883192,1.3495951988815629,VAR
48,57,52,train,10,False,0.9787689767485226,0.9893275376479331,1.1296270178851568,VAR
49,58,53,train,10,False,1.0018556564611139,1.0009273981968492,1.1447161337074037,VAR
50,59,54,train,10,False,2.081899414724006,1.4428788634961724,1.3787792878066125,VAR
51,60,55,train,10,False,1.9721196610702658,1.4043217797464602,1.1606625600416947,VAR
52,61,56,train,10,False,2.0454020765324166,1.4301755404608263,1.0515846177627253,VAR
53,62,57,train,10,False,2.052316152429268,1.4325907135079679,0.9603835116652588,VAR
54,63,58,train,10,False,2.105803695734764,1.4511387582635797,0.9823983081897909,VAR
55,64,59,train,10,False,2.582323218003012,1.6069608638678827,1.2083131865930177,VAR
56,65,60,train,10,False,2.5542279326735344,1.5981952110657616,1.2418110338261539,VAR
57,66,61,train,10,False,3.0316181636565136,1.7411542618781697,1.2800681311594893,VAR
58,67,62,train,10,False,3.213225119570356,1.7925471038637606,1.342880585546842,VAR
59,68,63,train,10,False,3.3081085343246293,1.8188206438031842,1.4750235834737215,VAR
60,69,64,train,10,False,3.0673610032073997,1.7513883073742955,1.3114950999427244,VAR
61,70,65,train,10,False,2.920063342797641,1.7088192832472486,1.369901974034915,VAR
62,71,66,train,10,False,3.1084121846540906,1.7630689676396925,1.8344662149212307,VAR
63,72,67,train,10,False,3.704733395321474,1.924768400437173,3.042379543964237,VAR
64,73,68,train,10,False,4.6288555670121045,2.1514775311427505,4.354234450534962,VAR
65,74,69,train,10,False,4.771763301844425,2.184436609710711,3.1783389283625896,VAR
66,75,70,train,10,False,4.78012268999642,2.1863491692765864,2.264053665102221,VAR
67,76,71,train,10,False,4.777769453756649,2.1858109373311887,1.4906405287236182,VAR
68,77,72,train,10,False,5.259446099335703,2.2933482289734592,1.438234170349887,VAR
69,78,73,train,10,False,5.789291925960011,2.4060947458402406,1.642056424364457,VAR
70,79,74,train,10,False,5.261534169513395,2.293803428699459,1.6179151999586157,VAR
71,80,75,train,10,False,5.337103660382721,2.310217232292825,1.6336716190866698,VAR
72,81,76,train,10,False,5.3424325774890296,2.311370281345901,1.6427519087696898,VAR
73,82,77,train,10,False,5.355130652418226,2.314115522703702,1.6334753155552273,VAR
74,83,78,train,10,False,4.505075485187993,2.1225163097578292,1.4094624317070472,VAR
