t,regimen,p_regimen_0,p_regimen_1,p_max,modas_efectivas,z_lag,ambiguo,b_t_realizada,factor_volatil,sep_dinamica,sep_tendencia,separacion,sep_en_sd,bimodal,nivel_curva,bloque
1,0,0.6701205266719057,0.3298794733280943,0.6701205266719057,1.7924937943174215,-0.11006149998166252,1,0.0,0.9921710611867641,,0.0,,,0,0.4346481111322881,train
2,0,0.8814130764274816,0.11858692357251843,0.8814130764274816,1.2642994324408534,-0.29552007068708885,0,0.04455363219893696,0.9084011718374004,0.6085063804079387,0.03341522414920272,0.6419216045571414,0.6419216045571414,0,1.2444015411683302,train
3,0,0.9998324596515485,0.00016754034845145593,0.9998324596515485,1.0003351368364364,-0.8966377222097096,0,0.08742567444363689,0.8915648370089665,1.6447498695810443,0.06556925583272766,1.710319125413772,1.710319125413772,0,1.515576107332701,train
4,0,0.8781175588178549,0.12188244118214508,0.8781175588178549,1.2723524062444516,-0.29140699978783025,0,0.13780603818470138,0.9374322421343753,1.8847076337755848,0.10335452863852604,1.9880621624141108,1.9880621624141108,0,0.4410101584863536,train
5,1,0.1012043421354436,0.8987956578645564,0.8987956578645564,1.22238038627904,0.3186797747595172,0,0.04975019991219392,1.016099640641423,0.507955567451847,0.14925059973658175,0.6572061671884287,0.6572061671884287,0,1.2301935084647544,train
6,0,0.9242779226020454,0.07572207739795456,0.9242779226020454,1.1627589094479882,-0.35861226600150276,0,0.2525324649673331,1.0326113691477117,1.5172589358781323,0.18939934872549985,1.7066582846036322,1.7066582846036322,0,0.975898812420032,train
7,1,0.03900616495698255,0.9609938350430175,0.9609938350430175,1.0810452816584617,0.4405843182425595,0,0.07988825990429842,1.090258049524653,0.9481945163919613,0.23966477971289524,1.1878592961048566,1.1878592961048566,0,-0.21546175325962438,train
8,0,0.36337776778628056,0.6366222322137194,0.6366222322137194,1.8610493345659456,0.0873611565103203,1,0.34021796598504084,0.9964246282496776,0.3441119152496593,0.25516347448878063,0.59927538973844,0.59927538973844,0,-0.6965982175708244,train
9,1,0.009363753488358766,0.9906362465116413,0.9906362465116413,1.018902835403172,0.5877277780705292,0,0.10316454276602587,1.059334609595829,1.3356954023220426,0.3094936282980776,1.6451890306201202,1.6451890306201202,0,1.8834890257476662,train
10,0,0.8725285330067882,0.12747146699321177,0.8725285330067882,1.2860826303851403,-0.28460632537496416,0,0.5042796217650213,1.1529458930180019,2.3311358463745626,0.378209716323766,2.7093455626983287,2.7093455626983287,0,1.0574383177244597,train
11,0,0.9971796804098898,0.0028203195901101985,0.9971796804098898,1.0056565473308923,-0.6919928696056399,0,0.6047653683093391,1.2471370911279704,0.868461097952343,0.4535740262320044,1.3220351241843473,1.3220351241843473,0,-0.0414388469099722,train
12,0,0.44224819760614953,0.5577518023938505,0.5577518023938505,1.9736691170495975,0.03631791315365742,1,0.6456572281888056,1.213343903916994,0.7767562690227888,0.48424292114160417,1.260999190164393,1.260999190164393,1,0.643895894985711,train
13,0,0.668233989116926,0.331766010883074,0.668233989116926,1.7966050805324476,-0.10876047244758881,1,0.6361531444252921,1.0987589854953648,0.10317419522550028,0.4771148583189691,0.5802890535444694,0.5802890535444694,0,1.2526171136615616,train
14,0,0.9010074461025859,0.09899255389741413,0.9010074461025859,1.2171166369767763,-0.32182832635717473,0,0.7336524014014237,1.1730503678732336,0.7768899750532937,0.5502393010510678,1.3271292761043614,1.3271292761043614,0,0.9127655852075608,train
15,0,0.9944641807634927,0.005535819236507256,0.9944641807634927,1.0111329252638956,-0.6351073968405583,0,0.7903284093327191,1.1770562993401352,0.5022366693358739,0.5927463069995393,1.0949829763354133,1.0949829763354133,0,1.1052429958977357,train
16,0,0.999388468578575,0.0006115314214250045,0.999388468578575,1.0012238107836486,-0.8083616002035613,0,0.9104837031179629,1.2698343627560018,0.7084366960312016,0.6828627773384721,1.3912994733696737,1.3912994733696737,0,1.1534092067161588,train
17,0,0.8067405246954511,0.1932594753045489,0.8067405246954511,1.4531092563508368,-0.216486876042152,0,1.0413066861308695,1.3663876024626302,0.361040357256585,0.7809800145981521,1.1420203718547373,1.1420203718547373,0,1.1713229628482373,train
18,0,0.7584325542827733,0.24156744571722666,0.7584325542827733,1.5783456775637068,-0.17531735602816054,0,0.8562201141882216,1.0614549471541794,0.21039896762928215,0.6421650856411663,0.8525640532704484,0.8525640532704484,0,0.36393898338938613,train
19,0,0.6628196721111987,0.33718032788880126,0.6628196721111987,1.8082512597944231,-0.10504270981070328,1,0.6806085434391992,0.8000933560482929,0.6607044591161093,0.5104564075793994,1.1711608666955087,1.1711608666955087,1,-0.19029783486542431,train
20,1,0.12435043432212406,0.875649565677876,0.875649565677876,1.2784042366971458,0.2883776504044308,0,0.18843251027149124,0.8430042328213805,1.0734239320441257,0.5652975308144738,1.6387214628585993,1.6387214628585993,0,1.9682375205106848,train
21,0,0.9787553680332751,0.02124463196672488,0.9787553680332751,1.043391082541808,-0.507173999118052,0,0.9347613012676561,0.9976799160630605,2.2507196759117996,0.7010709759507421,2.9517906518625416,2.9517906518625416,0,2.724302121539748,train
22,1,0.353732491168567,0.646267508831433,0.646267508831433,1.8423386690649457,0.09381571577136259,1,0.3034992891772346,1.239861658594593,2.1644608327819097,0.9104978675317039,3.074958700313614,3.074958700313614,1,-1.8654653391533857,train
23,1,0.5303519240498247,0.4696480759501753,0.5303519240498247,1.99265714376256,-0.01903863422476422,1,0.29208429465727676,1.144659433362949,2.7071059444337013,0.8762528839718302,3.5833588284055313,3.5833588284055313,1,2.0059419400567178,train
24,1,0.06387813240444723,0.9361218675955527,0.9361218675955527,1.135841450307302,0.3807524388339151,0,0.29628926499932257,1.1164429174465826,2.131625659830361,0.8888677949979678,3.020493454828329,3.020493454828329,0,-1.1383981770222682,train
25,1,0.5018565971328234,0.4981434028671766,0.5018565971328234,1.9999724247568935,-0.0011634539166007038,1,0.3269572989459186,1.1871015306375559,1.7898385501476042,0.9808718968377557,2.77071044698536,2.77071044698536,1,2.98930216128901,train
26,1,0.001116317923945756,0.9988836820760543,0.9988836820760543,1.0022351281730806,0.7643508517556906,0,0.33793613750929014,1.184580231623306,3.368792930569793,1.0138084125278704,4.382601343097663,4.382601343097663,0,-1.6447075541701612,train
27,0,0.5996353685926186,0.40036463140738143,0.5996353685926186,1.9236154860309393,-0.06310085309660242,1,1.3495381083545046,1.1438940974100111,2.45136186786942,1.0121535812658784,3.463515449135298,3.463515449135298,1,-0.11368874114750836,train
28,0,0.9564045483891499,0.0435954516108501,0.9564045483891499,1.090976266982537,-0.42760139050744783,0,1.5537827176721255,1.276048777862075,1.8892598219589931,1.1653370382540942,3.0545968602130875,3.0545968602130875,0,2.3251113563887236,train
29,0,0.6583445638605984,0.34165543613940164,0.6583445638605984,1.8176992956648985,-0.10198733354834165,1,1.404187702914911,1.1191220167795648,0.9623129248456646,1.0531407771861834,2.0154537020318477,2.0154537020318477,1,0.9511614433176231,train
30,1,0.2639268898868142,0.7360731101131859,0.7360731101131859,1.6354272086643054,0.1578214079970778,1,0.32866158731670064,1.0183424443268991,0.5833975548688962,0.9859847619501019,1.5693823168189982,1.5693823168189982,1,2.046414946134362,train
31,0,0.6403167260519657,0.35968327394803434,0.6403167260519657,1.8539888582209727,-0.08982637914029228,1,1.2204431851584745,0.9201425158470911,2.1248381231635354,0.9153323888688558,3.0401705120323914,3.0401705120323914,1,2.3427217117679655,train
32,1,0.21453993860007664,0.7854600613999234,0.7854600613999234,1.5083527447155916,0.19769178985843716,0,0.395248242682072,1.1617333141268804,1.407275487384773,1.185744728046216,2.5930202154309887,2.5930202154309887,0,1.489085837167429,train
33,0,0.44745457209094824,0.5525454279090518,0.5525454279090518,1.978153103098235,0.03302375205380649,1,1.2805442503165956,0.9182607118788482,1.401542474552242,0.9604081877374466,2.3619506622896886,2.3619506622896886,1,2.2502452229158867,train
34,1,0.7333982440775215,0.2666017559224785,0.7333982440775215,1.6421723504687888,-0.1557808202653375,1,0.38490909336703705,1.0787302158056316,1.18544991811257,1.154727280101111,2.3401771982136808,2.3401771982136808,1,-0.5494529577068609,train
35,0,0.7368442810208907,0.2631557189791093,0.7368442810208907,1.6334786629321554,-0.15841166677404825,1,1.919495375522819,1.3155528583843294,1.173551904850939,1.4396215316421141,2.613173436493053,2.613173436493053,1,1.0332169740631854,train
36,0,0.9686256088630552,0.031374391136944846,0.9686256088630552,1.0647133604976158,-0.4652418469198191,0,1.7343629876363007,1.1640407800409431,1.1114339661439068,1.3007722407272255,2.412206206871132,2.412206206871132,0,0.9790980987892398,train
37,0,0.9932966143921217,0.006703385607878309,0.9932966143921217,1.0134966337872104,-0.6181942891147615,0,1.7521546754165251,1.1528348925918257,1.0886525625748762,1.3141160065623938,2.4027685691372698,2.4027685691372698,0,1.1931725469676595,train
38,1,0.7015485937998821,0.2984514062001179,0.7015485937998821,1.7204488398466053,-0.1322149133163849,1,0.47047935886593606,1.2150721092112824,0.7736437531861949,1.411438076597808,2.185081829784003,2.185081829784003,1,0.2595329451901518,train
39,0,0.7473295456834856,0.25267045431651436,0.7473295456834856,1.6068288727315614,-0.166527454843775,1,1.7310832030185552,1.097865107655014,0.32314961012160676,1.2983124022639165,1.6214620123855232,1.6214620123855232,1,1.0727987807933583,train
40,1,0.37021897100707507,0.6297810289929249,0.6297810289929249,1.873760164613901,0.08281836315346769,1,0.4156011678811794,1.03658250624364,0.8948397580282644,1.2468035036435383,2.1416432616718026,2.1416432616718026,1,1.0220531004385731,train
41,1,0.3022544729066249,0.6977455270933751,0.6977455270933751,1.729485658817605,0.12948184216535216,1,0.37994746067092633,0.9325633082116934,0.8264454255825869,1.139842382012779,1.966287807595366,1.966287807595366,1,-1.6618870653741062,train
42,0,0.10009222384016347,0.8999077761598365,0.8999077761598365,1.2197316592584444,0.3202565613569932,0,1.3080869223849962,0.7905635867242218,2.617855614703736,0.9810651917887472,3.598920806492483,3.598920806492483,0,0.4115929182808727,train
43,1,0.20341993040505618,0.7965800695949439,0.7965800695949439,1.4794661737843928,0.2073669010756536,0,0.3007616330262256,0.7167257345698724,1.12082005389495,0.9022848990786768,2.0231049529736267,2.0231049529736267,0,0.3792400156159128,train
44,1,0.17874705347529574,0.8212529465247043,0.8212529465247043,1.4156146889296755,0.2300376300460577,0,0.3205262002588753,0.7535594923629269,0.2006288686503394,0.9615786007766258,1.1622074694269653,1.1622074694269653,0,0.30282431670491233,train
45,1,0.5404993037341184,0.45950069626588164,0.5404993037341184,1.986963977578746,-0.025422924338907422,1,0.35854018726340714,0.8322567633954512,0.03568483320610122,1.0756205617902215,1.1113053949963227,1.1113053949963227,1,0.5392915500485926,train
46,1,0.3827378906719715,0.6172621093280285,0.6172621093280285,1.8957317056961351,0.07457448338269916,1,0.3883657927702269,0.8907538440305911,0.2056009297829358,1.1650973783106808,1.3706983080936166,1.3706983080936166,1,1.554445437604342,train
47,0,0.9795678579125354,0.020432142087464578,0.9795678579125354,1.0416985028331747,-0.5112260997008204,0,1.4757757092735033,0.8367515430952822,1.5016808786033171,1.1068317819551274,2.6085126605584446,2.6085126605584446,0,1.3624122972662478,train
48,0,0.9331210768044721,0.0668789231955279,0.9331210768044721,1.1426119914134159,-0.37486161695098885,0,1.3556431808840228,0.760596298303052,0.30411381519683583,1.016732385663017,1.320846200859853,1.320846200859853,0,2.4345428336780603,train
49,0,0.8276051600513727,0.17239483994862725,0.8276051600513727,1.3992858122197547,-0.23618595490196018,0,1.4560884839485624,0.8089731146941256,1.305270582657226,1.0920663629614218,2.3973369456186475,2.3973369456186475,0,2.457586733063246,train
50,0,0.8659226750189835,0.13407732498101654,0.8659226750189835,1.3024245275431874,-0.27683054970287757,0,1.6981618379691608,0.93488872884777,1.227932797035043,1.2736213784768706,2.501554175511914,2.501554175511914,0,1.0497454848292223,train
51,0,0.40557658233132343,0.5944234176686766,0.5944234176686766,1.9311298697815602,0.05973465939776888,1,1.3570366378158456,0.7407925521854735,0.8444410787644682,1.0177774783618843,1.8622185571263525,1.8622185571263525,1,1.794591275537979,train
52,0,0.35179293860531186,0.6482070613946882,0.6482070613946882,1.8384696108056329,0.09512109904620986,1,1.2774478198520924,0.6919188178638087,0.5648190896450824,0.9580858648890693,1.5229049545341518,1.5229049545341518,1,1.5400105918483207,train
53,1,0.17554983014270392,0.8244501698572961,0.8244501698572961,1.407388570983797,0.2331146075431943,0,0.3405642380770486,0.7325785402398304,0.3559474453431055,1.0216927142311458,1.3776401595742513,1.3776401595742513,0,0.64208867520147,train
54,1,0.9249724275996539,0.07502757240034608,0.9249724275996539,1.1611662417106536,-0.35983417914464255,0,0.3381028915383432,0.7225324284740959,0.44432578376046206,1.0143086746150296,1.4586344583754918,1.4586344583754918,0,2.1235727556711086,train
55,1,0.532290649079138,0.46770935092086197,0.532290649079138,1.9916931575702033,-0.020257309043254408,1,0.33912690575678744,0.7204242984513869,2.1667634398631828,1.0173807172703624,3.184144157133545,3.184144157133545,1,0.062003534974479246,train
56,1,0.46471478008488865,0.5352852199151114,0.5352852199151114,1.9900889847534062,0.022140641177628404,1,0.2933823353874054,0.619921337120132,0.3401031541353383,0.8801470061622161,1.2202501602975544,1.2202501602975544,1,-0.23554201899549773,train
57,0,0.8501661624587482,0.1498338375412518,0.8501661624587482,1.3418627809340422,-0.2592865777108549,0,1.025653854439726,0.5392295255618549,0.7240306738088942,0.7692403908297945,1.4932710646386886,1.4932710646386886,0,1.60433137986532,train
58,0,0.8467493848307802,0.15325061516921978,0.8467493848307802,1.350493109766197,-0.2556477692101617,0,0.9952709673471061,0.5210665428396708,0.7658120928037366,0.7464532255103296,1.5122653183140662,1.5122653183140662,0,2.378711576719028,train
59,1,0.6277116536882327,0.3722883463117673,0.6277116536882327,1.8775092924287897,-0.0814496650030648,1,0.25712319454119237,0.536508037081592,1.8069329328311674,0.7713695836235771,2.5783025164547446,2.5783025164547446,1,-1.6990111714362826,train
60,1,0.6409402917568296,0.35905970824317035,0.6409402917568296,1.8527839679741642,-0.09024332175910946,1,0.25899316031750225,0.5387485268323605,2.464724003294169,0.7769794809525068,3.241703484246676,3.241703484246676,1,2.2012564010029907,train
61,0,0.9021680812843844,0.09783191871561558,0.9021680812843844,1.214361036717434,-0.3235011460000289,0,1.2101311704872197,0.6277237204609074,2.549491132752989,0.9075983778654149,3.4570895106184043,3.4570895106184043,0,2.8274751472447064,train
62,0,0.6838656763894823,0.31613432361051774,0.6838656763894823,1.7617631971338141,-0.11963403883487105,1,1.5577755678152787,0.8064374373756645,1.972334232003412,1.168331675861459,3.140665907864871,3.140665907864871,1,2.68048909995691,train
63,0,0.9089696049036791,0.09103039509632094,0.9089696049036791,1.1983047216850415,-0.3336091665492515,0,1.400356197225211,0.7238716310512798,1.4026144482672036,1.0502671479189083,2.4528815961861117,2.4528815961861117,0,1.9334114345338935,train
64,0,0.9858047081840727,0.014195291815927269,0.9858047081840727,1.0287934291555567,-0.5479616547106994,0,1.001433795733884,0.5171617056363236,0.8093719586098135,0.751075346800413,1.5604473054102264,1.5604473054102264,0,0.5749033500363149,train
65,0,0.9718536340495262,0.028146365950473817,0.9718536340495262,1.0578745120061657,-0.47719063381234994,0,0.8145313181565998,0.4204489135628925,0.6537152282366803,0.6108984886174499,1.26461371685413,1.26461371685413,0,0.6193169064651175,train
66,1,0.2768883065582891,0.7231116934417109,0.7231116934417109,1.6678963079282578,0.14802761868798936,1,0.1598952518395797,0.3301559620854637,0.3257865753699778,0.4796857555187391,0.8054723308887168,0.8054723308887168,0,-1.0577335058886512,train
67,0,0.9562095266234526,0.0437904733765474,0.9562095266234526,1.0914001046359572,-0.4270746556655064,0,0.8529696048946614,0.44054345126254757,1.5489152034567362,0.6397272036709961,2.188642407127732,2.188642407127732,0,0.5206126504811684,train
68,0,0.9665245414549402,0.033475458545059844,0.9665245414549402,1.0691867591781294,-0.45800084491512655,0,1.061207460675198,0.5486524595651212,0.5283908773766453,0.7959055955063985,1.3242964728830438,1.3242964728830438,0,1.2957703805754328,train
69,1,0.13608208648585657,0.8639179135141435,0.8639179135141435,1.3074074513256435,0.27452308321064917,0,0.2773993063497362,0.5745281626971607,0.34577305891937044,0.8321979190492086,1.177970977968579,1.177970977968579,0,-1.8677190761588809,train
70,0,0.2910984174354445,0.7089015825645555,0.7089015825645555,1.7027660377322997,0.13754466646853014,1,1.3144014250812355,0.6819097676222756,2.62927484214861,0.9858010688109267,3.6150759109595367,3.6150759109595367,1,0.5026901226134656,train
71,0,0.8169077965642215,0.18309220343577848,0.8169077965642215,1.4268162345625623,-0.22591090350968215,0,1.491461336817529,0.7756482380729107,1.0103699538677307,1.1185960026131467,2.1289659564808776,2.1289659564808776,0,0.197276462674628,train
72,0,0.9673669529447896,0.03263304705521042,0.9673669529447896,1.06739108375009,-0.46085777278698226,0,1.470335963992416,0.7668692733004671,1.6243923431161185,1.102751972994312,2.7271443161104303,2.7271443161104303,0,-0.18682558901845908,train
73,0,0.8042255836880191,0.1957744163119809,0.8042255836880191,1.4596272683410623,-0.21420298194399268,0,1.4785147108696182,0.7737086479394273,2.145960142035969,1.1088860331522137,3.2548461751881828,3.2548461751881828,0,-1.0525274835627287,train
74,1,0.010458199994369399,0.9895418000056306,0.9895418000056306,1.021135099021014,0.5773725269307273,0,0.33155189994109446,0.6966306115016123,3.1926497668815137,0.9946556998232834,4.187305466704797,4.187305466704797,0,1.9091885951405307,train
75,1,0.005243755338883523,0.9947562446611165,0.9947562446611165,1.0105425015616576,0.6398316950056151,0,0.31539891239289874,0.6654873058337147,2.1569289492041497,0.9461967371786962,3.103125686382846,3.103125686382846,0,-2.6176791954542695,train
76,1,0.7852607422228535,0.21473925777714653,0.7852607422228535,1.508870539511917,-0.1975210846645259,0,0.33041575161052567,0.7004147827171636,3.678553051699724,0.9912472548315769,4.669800306531301,4.669800306531301,0,3.3675212973560984,train
77,1,0.005702172901792065,0.9942978270982079,0.9942978270982079,1.0114693710778433,0.6325146652437386,0,0.29089045804581953,0.6197585751308319,3.863361610492622,0.8726713741374585,4.73603298463008,4.73603298463008,0,-2.094873102951177,train
78,0,0.8890945743601208,0.11090542563987915,0.8890945743601208,1.2456570546823407,-0.305431770537653,0,0.8528638626234988,0.4567640508848041,3.041754795166721,0.639647896967624,3.681402692134345,3.681402692134345,0,-0.9649640070657222,train
79,0,0.8351269351391664,0.16487306486083364,0.8351269351391664,1.380033434166711,-0.24365633982323665,0,0.6104565820290478,0.32886963608595143,2.346385171088401,0.4578424365217859,2.804227607610187,2.804227607610187,0,-0.014505117577972362,train
80,0,0.8139420622787339,0.1860579377212661,0.8139420622787339,1.4344748315879712,-0.2231292544194934,0,0.15150315224772193,0.08213384133675605,0.79463119544515,0.11362736418579145,0.9082585596309415,0.9082585596309415,0,0.672769636932206,train
