t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,mae_f,l2_medio,linf_max,linf_medio,q95_abs,razon_linf_l1,razon_agregacion,modelo
2,21,11,train,20,False,1.2863014479682668,1.134152303691293,1.1028795207898279,0.47562172763465727,1.0498481264758546,17.04681149583085,6.244780277375584,2.085444839807658,12.676723153767139,0.9256676753721208,FAR
3,22,12,train,20,False,1.2797858933126862,1.1312762232596805,1.147355516901072,0.4883024904699479,1.0456305322244872,17.04681149583085,6.04626240598129,2.097340779002078,11.632642271461439,0.9242928567981284,FAR
4,23,13,train,20,False,1.533909158834612,1.238510863430197,1.0827675381306638,0.5016820337716491,1.1054479309137695,21.927677707610354,6.592380126932552,2.086745087696957,11.966540034379209,0.8925621595696832,FAR
5,24,14,train,20,False,1.7443101848256508,1.3207233566593917,1.1382359478399207,0.5334941785789205,1.1811591552399665,21.927677707610354,7.304099490734655,2.2004795611792956,12.468597973065908,0.8943274526677293,FAR
6,25,15,train,20,False,1.580074640213788,1.2570101989299005,1.1398764519436255,0.5183720593842768,1.1280604425595453,21.927677707610354,6.77112418591646,2.179398619255288,12.044927694089319,0.897415505076943,FAR
7,26,16,train,20,False,1.5615679268413976,1.2496271151193052,1.1981395745661898,0.5093565156097395,1.1147595169626268,21.927677707610354,6.728719200130517,2.1597589807960302,12.114248756246871,0.8920737262140777,FAR
8,27,17,train,20,False,1.5618274119435644,1.2497309358192124,1.2094898239102339,0.510091936663778,1.1148831906140937,21.927677707610354,6.8198050644315416,2.1269497525976155,12.299779537341372,0.8920985779097126,FAR
9,28,18,train,20,False,1.4329054068162255,1.1970402695048423,1.1870121173297106,0.5088127742581874,1.0752004998749791,21.927677707610354,6.521789054893131,2.125066119285643,11.861594941391218,0.8982158138420338,FAR
10,29,19,train,20,False,1.4240067972879802,1.1933175592808396,1.1848078623159082,0.502502211789876,1.067208494245962,21.927677707610354,6.504376717264435,2.10852966711238,11.879543120693883,0.8943206156198039,FAR
11,30,20,train,20,False,1.547036390494175,1.2437991761109086,1.1738896857272554,0.5111525179717227,1.1161071832840428,21.927677707610354,7.079445980392403,2.134906934360835,12.67150682184619,0.8973371302382341,FAR
12,31,21,train,20,False,1.4928308512785464,1.2218145731978098,1.1166301251009298,0.4996392951788173,1.0835391027990986,21.927677707610354,6.923483946968995,2.025731851008328,12.478012904054598,0.886827777772524,FAR
13,32,22,train,20,False,1.5156534462788316,1.231118778298354,1.1164130263129017,0.4985172338581304,1.0972138681917063,21.927677707610354,7.019475850990548,2.0603908192778633,12.717660798535118,0.8912331511247596,FAR
14,33,23,train,20,False,1.507427259009186,1.227773293002086,1.1343708274799817,0.5028652993070973,1.0927810133489417,21.927677707610354,6.799422657412272,2.116258701770764,11.946498684087754,0.8900511353174426,FAR
15,34,24,train,20,False,1.476234437701143,1.2150038838214234,1.1325995138848743,0.501697552784894,1.0800407858549401,21.927677707610354,6.5854661115095325,2.089975196938734,11.61678658886557,0.8889196160081414,FAR
16,35,25,train,20,False,1.4415388195848535,1.2006410036246695,1.1637313287367588,0.5023847304184168,1.0647635768655617,21.927677707610354,6.383911343022189,2.094503277378295,11.196219279034453,0.8868292634110436,FAR
17,36,26,train,20,False,1.411990559323697,1.1882720897688783,1.1357610741601396,0.48150438651962724,1.0500358688118525,21.927677707610354,6.324919783927554,2.0629492059946983,11.935262758350733,0.883666188790218,FAR
