componente,t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,rmse,mae,r2_local,sd_obs,sd_pred,crps,cobertura,ancho,winkler,picp,mpiw
FPC 1,5,44,24,train,40,False,0.5447188096749558,0.4326994711334038,0.03221761816462032,0.5607653990375009,0.11768591100249096,0.2829613083534,0.925,1.6379744640551503,1.9706763863156005,0.925,1.6379744640551503
FPC 1,6,45,25,train,40,False,0.5462943243097235,0.43916775550682097,0.03949293548355115,0.5645131966409066,0.1190122823413669,0.284530383436993,0.925,1.6343105998076495,1.9670125220681,0.925,1.6343105998076495
FPC 1,7,46,26,train,40,False,0.54326455250314,0.43390500716955477,0.04569399252578532,0.5632033532974472,0.11994673840758072,0.28165899653447934,0.925,1.6274668033607298,1.9601687256211804,0.925,1.6274668033607298
FPC 1,8,47,27,train,40,False,0.5358249006849103,0.42377213725689755,0.03581231730549994,0.552636791808119,0.1194154074238151,0.2770029963447505,0.925,1.6093146148882802,1.9420165371487308,0.925,1.6093146148882802
FPC 1,9,48,28,train,40,False,0.4910899318772234,0.39456436041301546,0.0705449237703083,0.5158750462427076,0.11776145776000088,0.25589455718540205,0.95,1.5937123732455072,1.826299812407839,0.95,1.5937123732455072
FPC 1,10,49,29,train,40,False,0.4932494916298476,0.3991148103273635,0.07110550332818644,0.5182999220632442,0.11086440060698881,0.2576044683263358,0.95,1.6066599726676938,1.8392474118300257,0.95,1.6066599726676938
FPC 1,11,50,30,train,40,False,0.5017769075024601,0.41338311004842937,0.07208186364061342,0.5275377359558364,0.1116881227822224,0.2627834512979609,0.95,1.619759736396372,1.852347175558704,0.95,1.619759736396372
FPC 1,12,51,31,train,40,False,0.529451144969462,0.43826915884228324,0.05293949353851202,0.550978586796445,0.11328877738745086,0.2771177501944814,0.95,1.6376725042611355,1.8702599434234677,0.95,1.6376725042611355
FPC 1,13,52,32,train,40,False,0.5285694410342732,0.43443583873214814,0.055374739787801164,0.5507696058162563,0.11904829786695262,0.27490402742066955,0.95,1.6281128793023523,1.8607003184646842,0.95,1.6281128793023523
FPC 1,14,53,33,train,40,False,0.5293861719525177,0.43633020930227084,0.05440316709020154,0.5513371800636919,0.11900221264197272,0.2758129864299372,0.95,1.6289053608290849,1.8614927999914166,0.95,1.6289053608290849
FPC 1,15,54,34,train,40,False,0.5319473614115218,0.43934854338793866,0.055262606899096456,0.5542565045663553,0.11918916378130111,0.27731791849865184,0.95,1.6314688356779512,1.864056274840283,0.95,1.6314688356779512
FPC 1,16,55,35,train,40,False,0.5331609679049352,0.4405171261081177,0.057108083536472676,0.5560643894678652,0.11957556128188492,0.2778710166589592,0.95,1.6351894668675953,1.8677769060299276,0.95,1.6351894668675953
FPC 1,17,56,36,train,40,False,0.5345299311798085,0.44221828285720316,0.05816434056175668,0.5578046830696133,0.11976160717202472,0.2783621568183454,0.95,1.6366928609646851,1.869280300127017,0.95,1.6366928609646851
FPC 1,18,57,37,train,40,False,0.5110214793278153,0.4255530218847402,0.056956295015251124,0.5329309428073943,0.11997526476229052,0.26550805998581395,0.975,1.6388579901494083,1.6945816592201421,0.975,1.6388579901494083
FPC 1,19,58,38,train,40,False,0.5103546460951521,0.4222553299497247,0.05233797909886473,0.5309370433103601,0.11805280951657314,0.26292731298312827,0.975,1.620308467689901,1.6760321367606352,0.975,1.620308467689901
FPC 1,20,59,39,train,40,False,0.5028329961018704,0.4109258661898976,0.04820400530570357,0.5219747851895579,0.11756702433403601,0.2585995688141328,0.975,1.6150481970049437,1.6707718660756776,0.975,1.6150481970049437
FPC 1,21,60,40,train,40,False,0.4795510314591726,0.39327491771175843,0.06904676121700026,0.5033482789470565,0.11619476024845582,0.24813647427792312,0.975,1.602046583946794,1.657770253017528,0.975,1.602046583946794
FPC 1,22,61,41,train,40,False,0.4806074965851701,0.39672032597786816,0.07077296501963082,0.5049255119796386,0.11133806698040832,0.24972100131847158,0.975,1.6075197270885107,1.6632433961592448,0.975,1.6075197270885107
FPC 1,23,62,42,train,40,False,0.48188702245822573,0.4011414395772565,0.06758044986379297,0.5054023271819321,0.1117063325772302,0.2508837592673504,0.975,1.604571863412857,1.6602955324835906,0.975,1.604571863412857
