fpc_1,fpc_1_lag1,fpc_1_lag2,fpc_1_lag3,fpc_1_lag4
-1.1858336431423286,-1.39148665464996,-1.4243910168827825,1.5801918830523674,1.3139402386610235
1.1179969911424816,-1.1858336431423286,-1.39148665464996,-1.4243910168827825,1.5801918830523674
1.012990965653539,1.1179969911424816,-1.1858336431423286,-1.39148665464996,-1.4243910168827825
-1.3561798369465783,1.012990965653539,1.1179969911424816,-1.1858336431423286,-1.39148665464996
-1.202211882414256,-1.3561798369465783,1.012990965653539,1.1179969911424816,-1.1858336431423286
-1.2986035401485776,-1.202211882414256,-1.3561798369465783,1.012990965653539,1.1179969911424816
-1.3562984983234225,-1.2986035401485776,-1.202211882414256,-1.3561798369465783,1.012990965653539
-1.3793982638981048,-1.3562984983234225,-1.2986035401485776,-1.202211882414256,-1.3561798369465783
-1.2662371657387628,-1.3793982638981048,-1.3562984983234225,-1.2986035401485776,-1.202211882414256
-1.4334786400733206,-1.2662371657387628,-1.3793982638981048,-1.3562984983234225,-1.2986035401485776
-1.3541652892656753,-1.4334786400733206,-1.2662371657387628,-1.3793982638981048,-1.3562984983234225
-1.2995758884289088,-1.3541652892656753,-1.4334786400733206,-1.2662371657387628,-1.3793982638981048
0.6736389193652546,-1.2995758884289088,-1.3541652892656753,-1.4334786400733206,-1.2662371657387628
1.7602224698221023,0.6736389193652546,-1.2995758884289088,-1.3541652892656753,-1.4334786400733206
1.1958964549107756,1.7602224698221023,0.6736389193652546,-1.2995758884289088,-1.3541652892656753
1.388974594486722,1.1958964549107756,1.7602224698221023,0.6736389193652546,-1.2995758884289088
1.8159969481449272,1.388974594486722,1.1958964549107756,1.7602224698221023,0.6736389193652546
1.7253189652998147,1.8159969481449272,1.388974594486722,1.1958964549107756,1.7602224698221023
1.1485182922373045,1.7253189652998147,1.8159969481449272,1.388974594486722,1.1958964549107756
1.4101271415618812,1.1485182922373045,1.7253189652998147,1.8159969481449272,1.388974594486722
1.7764403003738636,1.4101271415618812,1.1485182922373045,1.7253189652998147,1.8159969481449272
