t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,mae_f,l2_medio,linf_max,linf_medio,q95_abs,razon_linf_l1,razon_agregacion,cobertura_puntual,ancho_medio,cobertura_simultanea,winkler,winkler_max_medio,winkler_max_glob,picp,mpiw,picp_simultaneo
5,34,19,train,30,False,0.4418016674974473,0.6646816286745462,1.054990678075057,0.48435660342881004,0.5742785057773377,2.500054285706323,1.0127895119447283,0.9692301957379822,2.179991931078763,0.8639903391380277,0.9355555555555556,2.034671434447125,0.6,2.437925986088052,5.613838819962755,27.658139618952564,0.9355555555555556,2.034671434447125,0.6
6,35,20,train,30,False,0.4416949540322113,0.6646013497068836,1.0433383688917441,0.484267300728752,0.5740400625338575,2.500054285706323,1.0169911920897292,0.9711969890122776,2.201860160416446,0.8637359264874089,0.9355555555555556,2.0334893134910206,0.6,2.436844561307727,5.602243189847653,27.658139618952564,0.9355555555555556,2.0334893134910206,0.6
7,36,21,train,30,False,0.4391318116903087,0.6626702133718617,1.0439948955771179,0.4805482796280289,0.5713577802262069,2.500054285706323,1.0195414854239897,0.9739475178342164,2.2244173668583542,0.8622053152486963,0.9355555555555556,2.026095504355817,0.6,2.4294997792506505,5.586794539067081,27.658139618952564,0.9355555555555556,2.026095504355817,0.6
8,37,22,train,30,False,0.42894735130038236,0.6549407235012817,1.0621295697274622,0.47152021668446975,0.5600906006270819,2.500054285706323,0.9999536656296579,0.954633907612523,2.2170943070183093,0.8551775458897477,0.9355555555555556,2.0045435635718767,0.6,2.408155192712457,5.54400518855798,27.658139618952564,0.9355555555555556,2.0045435635718767,0.6
9,38,23,train,30,False,0.37272283893280933,0.6105103102592202,1.0266399654547713,0.4420492475788661,0.5311088289079411,2.500054285706323,0.9664126576580934,0.9212320177908828,2.2691677033283977,0.8699424399277293,0.9422222222222222,1.978834911297356,0.6,2.2819432345587467,5.08917109599893,27.658139618952564,0.9422222222222222,1.978834911297356,0.6
10,39,24,train,30,False,0.3893738618207609,0.6239982867130013,1.017584637068714,0.455380249607553,0.5465046943618511,2.500054285706323,0.9966205041872164,0.9469978584833488,2.2750490965424754,0.8758112097400803,0.9391111111111111,1.9961657394784085,0.5666666666666667,2.3099940866433855,5.390493599899482,27.658139618952564,0.9391111111111111,1.9961657394784085,0.5666666666666667
11,40,25,train,30,False,0.397661507146163,0.6306040811366217,1.0098787327184475,0.4671643736401229,0.5590704367466995,2.500054285706323,1.0150192884962974,0.9659677599322688,2.239016257102085,0.8865633025067208,0.9391111111111111,2.0268458163704546,0.5666666666666667,2.3404552279536106,5.440315469660032,27.658139618952564,0.9391111111111111,2.0268458163704546,0.5666666666666667
12,41,26,train,30,False,0.40957672853897875,0.6399818189128335,1.0024098872066887,0.48093627138593437,0.5751016032235586,2.500054285706323,1.053999062477034,0.9985849288976997,2.2597393620186965,0.8986217830383215,0.9391111111111111,2.042661464849098,0.5666666666666667,2.3561232291785936,5.471856917648183,27.658139618952564,0.9391111111111111,2.042661464849098,0.5666666666666667
13,42,27,train,30,False,0.4147251982734341,0.6439916135117243,0.9943642087994108,0.4861125920983669,0.5806046776232334,2.500054285706323,1.06840463112032,1.0054422526894282,2.2724728452786422,0.9015717991375103,0.9391111111111111,2.0618794771659448,0.5666666666666667,2.375132309843854,5.509443081133401,27.658139618952564,0.9391111111111111,2.0618794771659448,0.5666666666666667
14,43,28,train,30,False,0.4111020887017763,0.6411724328928812,0.9847704758390082,0.4816456760636641,0.5756035222403414,2.500054285706323,1.0630998585602203,1.0007005464799905,2.281780437057087,0.8977359173776359,0.9391111111111111,2.0815363210578264,0.5666666666666667,2.394511774372924,5.555217921336652,27.658139618952564,0.9391111111111111,2.0815363210578264,0.5666666666666667
