fpc_1,fpc_1_lag1
-2.2081277193458524,-3.244275063872092
-0.26563195372467674,-2.2081277193458524
0.0062280324560786415,-0.26563195372467674
0.2415437680943469,0.0062280324560786415
0.775988951318511,0.2415437680943469
0.8007111322680924,0.775988951318511
1.376374205322368,0.8007111322680924
1.6821037532088905,1.376374205322368
2.872062652332526,1.6821037532088905
2.7815180471645227,2.872062652332526
2.2439391694206967,2.7815180471645227
3.7270509362524207,2.2439391694206967
3.384394798447007,3.7270509362524207
3.1875613805033147,3.384394798447007
5.818587727719779,3.1875613805033147
7.0255887947245705,5.818587727719779
4.276356392376216,7.0255887947245705
5.519610733634533,4.276356392376216
6.115207750910521,5.519610733634533
6.8956990902384225,6.115207750910521
6.96765850873849,6.8956990902384225
7.47337881531534,6.96765850873849
8.695748543078155,7.47337881531534
9.12133100379577,8.695748543078155
9.87247809868168,9.12133100379577
8.771711785214729,9.87247809868168
9.477374584160039,8.771711785214729
10.465276409969759,9.477374584160039
10.721634803694876,10.465276409969759
11.772393435739334,10.721634803694876
9.29885198665155,11.772393435739334
9.884282775437145,9.29885198665155
10.333339965543672,9.884282775437145
11.448706248658615,10.333339965543672
13.795224883075191,11.448706248658615
12.951771476138143,13.795224883075191
13.631953278310167,12.951771476138143
13.14752268323054,13.631953278310167
13.069507469260737,13.14752268323054
14.546687551807514,13.069507469260737
16.55587510128542,14.546687551807514
16.02940554552983,16.55587510128542
15.997780245204929,16.02940554552983
15.794690832722372,15.997780245204929
15.80244072331692,15.794690832722372
16.989211614079643,15.80244072331692
17.159078981709566,16.989211614079643
18.236533713969152,17.159078981709566
19.310519036053044,18.236533713969152
20.45293967281921,19.310519036053044
20.076503636838154,20.45293967281921
15.960498519343982,20.076503636838154
16.374205719675867,15.960498519343982
17.81804515387442,16.374205719675867
17.87077596281157,17.81804515387442
17.291643045096055,17.87077596281157
14.801052123058778,17.291643045096055
14.200219243023291,14.801052123058778
14.697736040472224,14.200219243023291
15.168622480503112,14.697736040472224
13.404642312014529,15.168622480503112
14.397309461243031,13.404642312014529
14.99689070101572,14.397309461243031
12.144027721036748,14.99689070101572
11.773199757133591,12.144027721036748
13.573214445614363,11.773199757133591
11.974059232325441,13.573214445614363
11.69581682312251,11.974059232325441
9.293130130635953,11.69581682312251
10.58301948187441,9.293130130635953
12.032015144888781,10.58301948187441
