t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,mae_f,l2_medio,linf_max,linf_medio,q95_abs,razon_linf_l1,razon_agregacion,cobertura_puntual,ancho_medio,cobertura_simultanea,winkler,winkler_max_medio,winkler_max_glob,picp,mpiw,picp_simultaneo,banda
2,21,11,train,20,False,0.00030596648685767946,0.01749189774889161,0.4589676587106872,0.01272560779299672,0.0164915141433727,0.10310078996986238,0.04874799322632761,0.030072582913879143,3.903285321516313,0.9428087438035533,0.9489795918367347,0.07641812526407041,0.35,0.09826463202503881,0.6631701440489396,2.4895206021069245,0.9489795918367347,0.07641812526407041,0.35,FAR (IC del modelo AR)
3,22,12,train,20,False,0.0002957684043759627,0.017197918605923297,0.4426204019546977,0.012449122418001416,0.01608931774520938,0.10310078996986238,0.047514434652142855,0.02921703559546592,3.8691937157528407,0.9355386610370342,0.9489795918367347,0.07641812526407041,0.35,0.09826463202503881,0.6631701440489396,2.4895206021069245,0.9489795918367347,0.07641812526407041,0.35,FAR (IC del modelo AR)
4,23,13,train,20,False,0.000284200572141199,0.01685824937949368,0.4409824739358417,0.01208659397588661,0.015725978667290773,0.10310078996986238,0.04737991920043021,0.028708036683437937,3.9359428935191354,0.932835807163928,0.9448979591836735,0.07641812526407041,0.35,0.0981784544531036,0.6525333213551956,2.4895206021069245,0.9448979591836735,0.07641812526407041,0.35,FAR (IC del modelo AR)
5,24,14,train,20,False,0.0002693764302091538,0.016412691132448504,0.44426737160515634,0.011661947230237061,0.015258917713848958,0.10310078996986238,0.046598972687924886,0.02776491093698019,3.986344019178479,0.9297023620752545,0.9479591836734694,0.07641812526407041,0.4,0.09751513020241745,0.633424994591343,2.4895206021069245,0.9479591836734694,0.07641812526407041,0.4,FAR (IC del modelo AR)
6,25,15,train,20,False,0.00024235075474565737,0.015567618788551361,0.5405373260981046,0.011039414774367562,0.014605800759041082,0.10310078996986238,0.04532564502595182,0.026872960637765703,4.025998436623091,0.9382167534692194,0.9540816326530612,0.07641812526407041,0.4,0.09544629383709499,0.6230569887457127,2.4895206021069245,0.9540816326530612,0.07641812526407041,0.4,FAR (IC del modelo AR)
7,26,16,train,20,False,0.00025942519102788484,0.01610668156473843,0.8042698251673847,0.011397343029543691,0.015103232147970986,0.10310078996986238,0.048264105382453404,0.027514421190892792,4.126775285535189,0.9376998041009112,0.95,0.07641812526407041,0.4,0.09860749964145427,0.7180182770679774,2.4895206021069245,0.95,0.07641812526407041,0.4,FAR (IC del modelo AR)
8,27,17,train,20,False,0.00026952110212670065,0.01641709785944826,0.8987547498298212,0.011483087062105447,0.01536051188290831,0.10310078996986238,0.05149768156080593,0.02768433395922181,4.311339657439501,0.9356411233224226,0.9489795918367347,0.07641812526407041,0.4,0.10037715624927898,0.8031254833790005,2.4895206021069245,0.9489795918367347,0.07641812526407041,0.4,FAR (IC del modelo AR)
9,28,18,train,20,False,0.0002854701349664964,0.016895861474529685,0.9272430835811842,0.011988027259998273,0.015862137742911377,0.10310078996986238,0.05212882211400749,0.028352219257016937,4.265261857603607,0.9388179328306738,0.9489795918367347,0.0764181252640704,0.4,0.10037715624927897,0.8031254833790005,2.4895206021069245,0.9489795918367347,0.0764181252640704,0.4,FAR (IC del modelo AR)
10,29,19,train,20,False,0.0002824308247601371,0.016805678348705153,0.7623071392977644,0.0119008178714951,0.015771745095861787,0.10310078996986238,0.05231744293729849,0.028330505133111594,4.390986775171491,0.9384771485333689,0.95,0.07641812526407041,0.4,0.10059185407558313,0.8296903582255434,2.4895206021069245,0.95,0.07641812526407041,0.4,FAR (IC del modelo AR)
11,30,20,train,20,False,0.0002904451912778739,0.01704245261920578,0.6617908695281169,0.011958005020437607,0.01612758502533016,0.10310078996986238,0.05563329253026043,0.028573486549299327,4.821894416173251,0.946318313782805,0.9489795918367347,0.07641812526407041,0.35,0.1021206802599696,0.9021547092129978,2.4895206021069245,0.9489795918367347,0.07641812526407041,0.35,FAR (IC del modelo AR)
12,31,21,train,20,False,0.0002699812063734702,0.016431104843359443,0.5641994821684283,0.011640062129401425,0.015465105556459437,0.10310078996986238,0.05169842561364315,0.027071055562400782,4.596696304604207,0.9412091094233137,0.9520408163265306,0.07641812526407041,0.4,0.09892033823902383,0.8052417046371809,2.4895206021069245,0.9520408163265306,0.07641812526407041,0.4,FAR (IC del modelo AR)
13,32,22,train,20,False,0.00026637844670725534,0.01632110433479473,0.4878528349477712,0.011452612427208799,0.015249967416717159,0.10310078996986238,0.051317224446096835,0.026703696022371232,4.6095786824346785,0.9343710513635999,0.9520408163265306,0.07641812526407041,0.4,0.09892033823902381,0.8052417046371809,2.4895206021069245,0.9520408163265306,0.07641812526407041,0.4,FAR (IC del modelo AR)
14,33,23,train,20,False,0.00027077166140117043,0.016455140880623612,0.44673249442230545,0.011569872378328447,0.015430599654291563,0.10310078996986238,0.05196742657523769,0.02695157467370874,4.629159452124209,0.9377373166377156,0.95,0.07641812526407041,0.35,0.09902673946696945,0.8052417046371809,2.4895206021069245,0.95,0.07641812526407041,0.35,FAR (IC del modelo AR)
15,34,24,train,20,False,0.00025911883430445334,0.01609716851823492,0.3905217888858561,0.011538567767351314,0.015067975614150598,0.10310078996986238,0.04804724132309466,0.026505165287284506,4.292155942717853,0.9360637305300961,0.9520408163265306,0.07641812526407041,0.4,0.09630610270964955,0.686240231009071,2.432763357986605,0.9520408163265306,0.07641812526407041,0.4,FAR (IC del modelo AR)
16,35,25,train,20,False,0.00025400866837849454,0.015937649399409393,0.345195589143437,0.011284912715620439,0.014809382007371563,0.10310078996986238,0.04755853856936344,0.02610623138539716,4.313709323446517,0.9292074154875285,0.9540816326530612,0.07641812526407041,0.45,0.09615874979717867,0.6829130347933868,2.432763357986605,0.9540816326530612,0.07641812526407041,0.45,FAR (IC del modelo AR)
17,36,26,train,20,False,0.00024564695084642555,0.01567312830440769,0.2975693079419737,0.01074643618174249,0.014603476347925382,0.11506068644875,0.050860944290349305,0.024985749414079904,4.893440050053477,0.9317524915443016,0.9622448979591837,0.07641812526407041,0.45,0.09848873826320659,0.8228774973760636,3.066333932226681,0.9622448979591837,0.07641812526407041,0.45,FAR (IC del modelo AR)
18,37,27,train,20,False,0.00020199990765160884,0.01421266715474646,0.23357970070243833,0.009899101415961033,0.013396710006090995,0.11506068644875,0.046370477371622996,0.022712272415089343,4.797194926352281,0.9425894422368872,0.9693877551020408,0.07641812526407041,0.5,0.0921937244433547,0.7067138859539694,3.066333932226681,0.9693877551020408,0.07641812526407041,0.5,FAR (IC del modelo AR)
19,38,28,train,20,False,0.00020494402761011692,0.014315866289195248,0.2320577535710125,0.009870012526633044,0.013500216876950345,0.11506068644875,0.04752675482196119,0.023473956613870802,4.915952815252987,0.9430247953027819,0.9673469387755103,0.07641812526407041,0.45,0.0926432971261019,0.7199814873644881,3.066333932226681,0.9673469387755103,0.07641812526407041,0.45,FAR (IC del modelo AR)
20,39,29,train,20,False,0.00020771420583734997,0.014412293566166003,0.23764727617418197,0.009963347710125922,0.013614643948165939,0.11506068644875,0.047930089660475475,0.023598743152550276,4.927191369151073,0.9446549146159076,0.9673469387755103,0.07641812526407041,0.45,0.09264329712610189,0.7199814873644881,3.066333932226681,0.9673469387755103,0.07641812526407041,0.45,FAR (IC del modelo AR)
21,40,30,train,20,False,0.00019803093488091755,0.01407234645966754,0.23154088354224137,0.009653854460184647,0.013212396916457717,0.11506068644875,0.046095258743330855,0.02307902748815503,4.858275334784193,0.9388908206833518,0.9734693877551021,0.07641812526407041,0.5,0.09152497967536725,0.695652042241367,3.066333932226681,0.9734693877551021,0.07641812526407041,0.5,FAR (IC del modelo AR)
22,41,31,train,20,False,0.00019219357024123683,0.013863389565370974,0.22153640710238812,0.00942513738397054,0.012899194755235929,0.11506068644875,0.04496496861613246,0.02233545186687903,4.804280756968052,0.9304502837788323,0.976530612244898,0.07641812526407041,0.55,0.0904370372166486,0.6717083310525102,3.066333932226681,0.976530612244898,0.07641812526407041,0.55,FAR (IC del modelo AR)
23,42,32,train,20,False,0.00018934449708994823,0.013760250618718696,0.2069973391846296,0.009238905972884261,0.012678202971403795,0.11506068644875,0.044587326433253104,0.021887455539195903,4.8523311074950035,0.9213642485665965,0.976530612244898,0.07641812526407041,0.55,0.0904370372166486,0.6717083310525102,3.066333932226681,0.976530612244898,0.07641812526407041,0.55,FAR (IC del modelo AR)
24,43,33,train,20,False,0.0001859590269108024,0.013636679467920422,0.20446119751326053,0.009143160128414176,0.012520062348644051,0.11506068644875,0.043841925569517035,0.021505038567381507,4.798768090836384,0.9181166410853057,0.9816326530612245,0.07641812526407041,0.6,0.09018842552946524,0.6694236549556087,3.066333932226681,0.9816326530612245,0.07641812526407041,0.6,FAR (IC del modelo AR)
25,44,34,train,20,False,0.00018122536885877623,0.013461997209135658,0.19181748486052436,0.008933028294301796,0.012237350257577044,0.11506068644875,0.04277103122037281,0.02098778477367604,4.740134680150897,0.9090293265899998,0.9816326530612245,0.07641812526407041,0.6,0.09018842552946524,0.6694236549556088,3.066333932226681,0.9816326530612245,0.07641812526407041,0.6,FAR (IC del modelo AR)
26,45,35,train,20,False,0.0001743148745607383,0.013202835852980158,0.1936553323433286,0.008707407663127584,0.011923932735910272,0.11506068644875,0.04180454995566045,0.02042710370235527,4.71480235527109,0.9031342106111839,0.9846938775510204,0.07641812526407041,0.65,0.08955179635831154,0.6500658816627126,3.066333932226681,0.9846938775510204,0.07641812526407041,0.65,FAR (IC del modelo AR)
