t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,cobertura_puntual,ancho_medio
2,21,11,train,20,False,1.3793239341442922,1.174446224458273,1.0575152211419176,0.958,4.387644213418029
3,22,12,train,20,False,1.1478878960411165,1.0713953033503165,1.1221172906525774,0.9813333333333333,4.291845778507146
4,23,13,train,20,False,1.155673751786478,1.0750226750103822,0.9989041355547369,0.9753333333333334,4.221059442211065
5,24,14,train,20,False,1.1944745724260994,1.092920204052473,0.988265177140841,0.9753333333333334,4.266593213889982
6,25,15,train,20,False,1.208788023702033,1.099448963664086,0.9852913553599476,0.9753333333333334,4.284595041219304
7,26,16,train,20,False,1.1801722754591764,1.0863573424334998,0.9840542995396797,0.9753333333333334,4.275963509246477
8,27,17,train,20,False,1.1837226270225125,1.0879901778152745,0.9894555742114892,0.9753333333333334,4.250829286683614
9,28,18,train,20,False,1.2770733897603765,1.1300767185286036,1.036572946091076,0.952,4.2625351014523085
10,29,19,train,20,False,1.2850204073773823,1.133587406148014,1.0356778026632774,0.952,4.330188588319338
11,30,20,train,20,False,1.4760134478601845,1.2149129383870205,1.0924420533287227,0.9346666666666666,4.370076275772251
12,31,21,train,20,False,1.6205180940125063,1.2729957164156156,1.1480137965958042,0.9346666666666666,4.496373822520901
13,32,22,train,20,False,2.196187922220525,1.481954089106854,1.2070619840424448,0.888,4.6050728279036335
14,33,23,train,20,False,2.5817953651823147,1.6067966159979037,1.1924678169724143,0.8866666666666667,4.833031408178926
15,34,24,train,20,False,3.1442416512347093,1.7732009618863591,1.1132036908531395,0.8866666666666667,5.060204835517724
16,35,25,train,20,False,3.650682867318455,1.91067602364149,1.042801031632094,0.88,5.279470327352402
17,36,26,train,20,False,3.887604186637566,1.9717008359884534,1.0426981382858556,0.88,5.46761984125167
18,37,27,train,20,False,4.182409380847934,2.045093978488014,1.0179472652992092,0.88,5.600851162565077
19,38,28,train,20,False,4.217857918830227,2.0537424178387678,1.0439444417204584,0.88,5.70552694225069
20,39,29,train,20,False,4.11719899213163,2.029088216941696,1.082424700380912,0.8826666666666667,5.736894669429038
21,40,30,train,20,False,4.115775194689967,2.028737339994995,1.0757336234704264,0.8826666666666667,5.677696693740399
22,41,31,train,20,False,4.287425840587649,2.070610016538037,1.0297207416397227,0.8513333333333334,5.672140301579222
23,42,32,train,20,False,4.2318381102267395,2.0571431914737337,1.0351900315211673,0.8513333333333334,5.78013824632585
24,43,33,train,20,False,4.06432257168182,2.0160165107661743,1.0243296862418052,0.8573333333333333,5.740323408416283
25,44,34,train,20,False,3.9980771727279225,1.99951923539833,1.0188169725259322,0.8573333333333333,5.634669879166387
26,45,35,train,20,False,3.963557784722525,1.9908686005667287,1.010514363889942,0.8573333333333333,5.609685720592577
27,46,36,train,20,False,4.133395470796168,2.0330753726303823,1.027123233287377,0.834,5.600266718973133
28,47,37,train,20,False,4.41690194635104,2.1016426780856543,1.0107553107196745,0.8206666666666667,5.693148151895692
29,48,38,train,20,False,4.281320730348424,2.069135261491724,0.9940320903616565,0.8566666666666667,5.838231021830009
30,49,39,train,20,False,4.351211074603086,2.0859556741702554,1.0011505970222914,0.852,5.761660114922755
31,50,40,train,20,False,4.374115188483681,2.0914385452323674,0.9861448075496433,0.848,5.7988543689753085
32,51,41,train,20,False,4.25565263969764,2.0629233237562756,0.9917604520588462,0.848,5.822949213001693
33,52,42,train,20,False,3.7177791867733783,1.9281543472381506,1.0309680822350054,0.8946666666666667,5.764655462608464
34,53,43,train,20,False,3.3149544862739555,1.820701646693921,1.155146338593302,0.896,5.565881576238653
35,54,44,train,20,False,2.9935719987132954,1.7301942083804625,1.0386040571335278,0.846,5.334340232920022
36,55,45,train,20,False,2.522923823036914,1.5883714373649869,1.0119085343040306,0.8526666666666667,5.245884255655356
37,56,46,train,20,False,2.2573797910977436,1.5024579165812744,1.0727605547291263,0.8526666666666667,5.099490472244526
