M,1
experiment_id,escenario_B_r01_m01
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
n_lags,1
M_fpca,1
K_base,4
var_explicada,0.917332
n_train_origenes,279
n_test_origenes,120
w_ventana,20
p_bic_libre,1
far_hs_norm,0.020199
far_hs_referencia,0.70
far_radio_espectral,0.020199
mise_truncamiento_test,0.2695401
mise_test_VAR,3.17808667
mise_test_FAR1,3.17383406
mise_test_RF,3.66696502
mise_test_GBT,4.03347905
mise_test_media,3.18446135
mise_test_persistencia,5.52034976
mise_test_PSBPM-FD,3.23049361
