t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,mae_f,l2_medio,linf_max,linf_medio,q95_abs,razon_linf_l1,razon_agregacion,cobertura_puntual,ancho_medio,cobertura_simultanea,winkler,winkler_max_medio,winkler_max_glob,picp,mpiw,picp_simultaneo,banda
2,21,11,train,20,False,0.9687373616736833,0.9842445639543473,0.8961904715949186,0.7782705488686373,0.9581461380231643,3.376434992566842,1.991646044499764,1.8249287336020081,2.6028897850584025,0.9734837997719503,0.9486666666666667,3.8942239951345132,0.45,4.590377506576106,13.043386404915381,61.87501195473459,0.9486666666666667,3.8942239951345132,0.45,FAR (IC del modelo AR)
3,22,12,train,20,False,0.9991369629954547,0.9995683883534207,0.9280664820621431,0.7914889934961175,0.9773944399800168,3.376434992566842,2.0431075369968648,1.8737669112146282,2.624520968675768,0.9778164769596899,0.944,3.894223995134514,0.4,4.640237163344786,13.820033643828776,61.87501195473459,0.944,3.894223995134514,0.4,FAR (IC del modelo AR)
4,23,13,train,20,False,1.0719490828513696,1.0353497393882753,0.9612110325620407,0.8192402996339869,1.0124288856751804,3.376434992566842,2.106867441644816,1.933191025700396,2.626891446140803,0.9778617284178412,0.9333333333333333,3.8942239951345132,0.35,4.788689596826958,15.037501148008635,61.87501195473459,0.9333333333333333,3.8942239951345132,0.35,FAR (IC del modelo AR)
5,24,14,train,20,False,1.031534778157538,1.0156450059728241,0.9195221183642375,0.8042121923795476,0.9957432357851802,3.376434992566842,2.0889851788859533,1.919828964694003,2.6393208359495244,0.9804047968821732,0.9413333333333334,3.894223995134514,0.35,4.719815833484822,14.29722040569647,61.87501195473459,0.9413333333333334,3.894223995134514,0.35,FAR (IC del modelo AR)
6,25,15,train,20,False,1.017240361056486,1.008583343634271,0.9225828188007033,0.792959107222692,0.9867598902277719,3.376434992566842,2.1324403046992133,1.917448318110696,2.757422677700093,0.9783622706598926,0.94,3.8942239951345132,0.3,4.729084606816377,15.04075366410722,61.87501195473459,0.94,3.8942239951345132,0.3,FAR (IC del modelo AR)
7,26,16,train,20,False,1.0333607085584813,1.016543510410883,0.9070713173208678,0.8007847324189596,0.9951700042934266,3.376434992566842,2.1620871087839624,1.925134121564199,2.769828246504842,0.9789743322360918,0.9386666666666666,3.8942239951345132,0.25,4.735517955147645,15.647671304120802,61.87501195473459,0.9386666666666666,3.8942239951345132,0.25,FAR (IC del modelo AR)
8,27,17,train,20,False,1.0190770353807865,1.0094934548479186,0.8992590575300512,0.7973840471841505,0.9892493758966179,3.376434992566842,2.150945948014694,1.913624215800318,2.765718478409529,0.9799462999447078,0.942,3.894223995134514,0.25,4.69804962516458,15.143725945416113,61.87501195473459,0.942,3.894223995134514,0.25,FAR (IC del modelo AR)
9,28,18,train,20,False,1.0685562348355808,1.0337099374754897,0.8709736578718725,0.8226819699595438,1.015895623582641,3.376434992566842,2.18153033507285,1.9469600788457793,2.726283944100028,0.9827666221954348,0.9373333333333334,3.894223995134514,0.2,4.718029844743062,15.460582067057056,61.87501195473459,0.9373333333333334,3.894223995134514,0.2,FAR (IC del modelo AR)
10,29,19,train,20,False,1.0739533903071847,1.0363172247469328,0.8244805520762669,0.8204478068931834,1.0186388220877582,3.376434992566842,2.1930312115666326,1.9650506002647155,2.75415765272965,0.9829411282211472,0.9346666666666666,3.8942239951345132,0.2,4.784231995821234,15.861708097761369,61.87501195473459,0.9346666666666666,3.8942239951345132,0.2,FAR (IC del modelo AR)
11,30,20,train,20,False,1.0660225816855706,1.0324836956027783,0.8333253459873254,0.8178540154835195,1.0126964907475355,3.376434992566842,2.1632041020793356,1.9448873851946373,2.7126450379513574,0.9808353343113174,0.9346666666666666,3.894223995134514,0.2,4.784231995821233,15.861708097761365,61.87501195473459,0.9346666666666666,3.894223995134514,0.2,FAR (IC del modelo AR)
12,31,21,train,20,False,1.0695097129039548,1.0341710269118716,0.8475727973870882,0.8191344493072336,1.0144456679136526,3.376434992566842,2.1442063160803193,1.9318907538065662,2.6865695634209428,0.9809264053189342,0.9366666666666666,3.894223995134514,0.25,4.781850458862559,15.769805690405672,61.87501195473459,0.9366666666666666,3.894223995134514,0.25,FAR (IC del modelo AR)
13,32,22,train,20,False,1.0599022249644257,1.0295155292487945,0.8698992098845687,0.8204155764883625,1.0099021811757414,3.376434992566842,2.1251124592442614,1.9112533336794955,2.6622857239225093,0.9809489536429195,0.94,3.894223995134514,0.3,4.764850776915004,15.414574384937712,61.87501195473459,0.94,3.894223995134514,0.3,FAR (IC del modelo AR)
14,33,23,train,20,False,1.0338918777120056,1.0168047392257795,0.8550930524561379,0.8061474301402525,0.9936582122406177,3.376434992566842,2.092819904320494,1.8855161347875289,2.692771171878202,0.9772360158325125,0.944,3.8942239951345132,0.35,4.712094267599237,14.488796973763664,61.87501195473459,0.944,3.8942239951345132,0.35,FAR (IC del modelo AR)
15,34,24,train,20,False,0.9938583329615337,0.9969244369366886,0.8862201428766237,0.8027603602575409,0.9771678748345881,2.59077974564731,2.029467586993641,1.8267119277871935,2.6330022654253304,0.9801824878896461,0.9493333333333334,3.894223995134514,0.35,4.385397406594237,11.896272779590449,28.395167828149432,0.9493333333333334,3.894223995134514,0.35,FAR (IC del modelo AR)
16,35,25,train,20,False,0.9498698036108777,0.9746126428540098,0.9365215209423253,0.7853689062857112,0.9534180990384847,2.59077974564731,1.9714928765838526,1.7757719464130672,2.60570700691816,0.9782533666365542,0.9546666666666667,3.894223995134514,0.4,4.341933511787696,11.137122518375644,28.395167828149432,0.9546666666666667,3.894223995134514,0.4,FAR (IC del modelo AR)
17,36,26,train,20,False,0.9240922690517077,0.961297180403494,1.0153498339624814,0.7728130063833394,0.941538752403847,2.59077974564731,1.956488360704716,1.7712279870524348,2.623681381147444,0.979446077235602,0.9553333333333334,3.894223995134514,0.4,4.312236467331791,10.557113843635456,28.395167828149432,0.9553333333333334,3.894223995134514,0.4,FAR (IC del modelo AR)
18,37,27,train,20,False,0.9579291222651974,0.9787385362113814,1.0542074523896785,0.7926895166733411,0.9590373372458899,2.59077974564731,1.9603592522397306,1.7816473147731138,2.5674724330371985,0.979870825315867,0.9553333333333334,3.894223995134514,0.4,4.312236467331791,10.557113843635456,28.395167828149432,0.9553333333333334,3.894223995134514,0.4,FAR (IC del modelo AR)
19,38,28,train,20,False,0.9589076245743906,0.9792382879434355,1.0569664892390611,0.7958712576506659,0.959556000519774,2.59077974564731,1.948625897176705,1.7686110648623388,2.5462394651909306,0.9799004106906424,0.9553333333333334,3.894223995134514,0.4,4.312236467331791,10.557113843635458,28.395167828149432,0.9553333333333334,3.894223995134514,0.4,FAR (IC del modelo AR)
20,39,29,train,20,False,0.9923412300857388,0.9961632547357581,1.0495179574476194,0.8085708850222326,0.977455375987525,2.59077974564731,2.000678464717912,1.8186880240141878,2.568926342839122,0.981220067434433,0.9493333333333334,3.8942239951345146,0.35,4.412411654059991,11.868785317359642,30.279247219036005,0.9493333333333334,3.8942239951345146,0.35,FAR (IC del modelo AR)
21,40,30,train,20,False,0.998902172206674,0.9994509353673516,1.058767908981884,0.8160996707253674,0.9811907521883011,2.59077974564731,1.978557639161552,1.8169446446452295,2.5101817770778365,0.9817297852922225,0.9513333333333334,3.894223995134514,0.4,4.405848855697672,11.563666608001899,30.279247219036005,0.9513333333333334,3.894223995134514,0.4,FAR (IC del modelo AR)
22,41,31,train,20,False,0.9845083563524053,0.9922239446578607,1.0608488625708805,0.8125294823048334,0.9734925517883715,2.59077974564731,1.9532117675319065,1.798265905370266,2.4896563898002513,0.9811218092746712,0.9553333333333334,3.894223995134514,0.45,4.360492108045391,10.722116725746028,30.279247219036005,0.9553333333333334,3.894223995134514,0.45,FAR (IC del modelo AR)
23,42,32,train,20,False,0.9778715571425793,0.988873883335271,1.0308037388011009,0.8118411964125407,0.9699888624350747,2.59077974564731,1.9348273364971527,1.7687095596919744,2.467562862110226,0.980902498065273,0.96,3.894223995134514,0.5,4.310632451276712,9.945469486832632,30.279247219036005,0.96,3.894223995134514,0.5,FAR (IC del modelo AR)
24,43,33,train,20,False,0.9146246977789934,0.9563601297518594,0.991972137257437,0.7858284342709991,0.9413111423006952,2.566891749229073,1.8972609154697548,1.7348008291839914,2.5005312134881983,0.9842643090369432,0.9706666666666667,3.8942239951345146,0.55,4.1621800177945385,8.728001982652774,30.279247219036005,0.9706666666666667,3.8942239951345146,0.55,FAR (IC del modelo AR)
