t,b_t,b_t_norm,q_interaccion,q_lineal,razon_q_lineal,estrato_q,nivel_curva,nivel_sin_tend,bloque
1,0.0,0.0,0.2941533904034343,0.3658905929458423,0.8039381062933578,1,0.7983519068460231,0.7983519068460231,train
2,1.884410273804813e-05,6.2813675793493765e-06,0.24031542848861673,0.4771817699436145,0.5036140180229711,1,1.4745503834977576,1.4745315393950196,train
3,7.537641095219251e-05,2.5125470317397506e-05,0.27416645040761173,0.9434129825579971,0.2906112757365591,1,0.19302392253844475,0.19294854612749252,train
4,0.00016959692464243314,5.653230821414438e-05,0.346355700288729,0.2331918017217344,1.4852824916290668,2,-0.1985550423216984,-0.19872463924634085,train
5,0.00030150564380877006,0.00010050188126959002,0.316885033429729,0.17926080026207672,1.7677318910015332,2,-2.521198782486834,-2.5215002881306425,train
6,0.00047110256845120315,0.00015703418948373438,1.1240168878277674,1.559434089273075,0.7207851204225786,3,1.1536172982371309,1.1531461956686795,train
7,0.0006783876985697326,0.00022612923285657752,0.2594194796164535,0.7853809566478248,0.33031037666575436,1,-0.14146471038321282,-0.14214309808178258,train
8,0.0009233610341643582,0.0003077870113881194,0.3463727272216029,0.08410608144917185,4.11828397249642,2,0.36710582122499097,0.36618246019082656,train
9,0.0012060225752350802,0.0004020075250783601,0.37091285390224227,0.2726179365115004,1.3605592451052657,2,0.4767778163554942,0.4755717937802592,train
10,0.0015263723217818982,0.0005087907739272994,0.2885094452459013,0.2985060352256683,0.9665112634248426,1,-0.5618523750696821,-0.5633787473914641,train
11,0.0018844102738048126,0.0006281367579349375,0.2815260231093848,0.3708513377834461,0.75913444128865,1,-1.707307576570832,-1.7091919868446364,train
12,0.0022801364313038233,0.0007600454771012744,0.4185312888395886,1.0600532724751242,0.39482099598858617,2,-0.5231289077590782,-0.5254090441903818,train
13,0.0027135507942789303,0.0009045169314263101,0.31158564339062034,0.3806969126274068,0.8184611775288375,1,-2.5560038277989214,-2.5587173785932,train
14,0.0031846533627301332,0.0010615511209100443,1.2494046568037291,1.6345645461364826,0.76436544507029,3,0.38455061734715384,0.38136596398442374,train
15,0.003693444136657433,0.0012311480455524776,0.17265986729691046,0.2979614975482731,0.5794703970734931,0,-0.4787869502156719,-0.48248039435232937,train
16,0.004239923116060828,0.0014133077053536094,0.3681223467741322,0.34977981437144856,1.0524402256763874,2,-0.4842513828611412,-0.488491305977202,train
17,0.004824090300940321,0.0016080301003134404,0.2307046860082463,0.33751044486730264,0.6835482857395757,1,-0.3414418639156476,-0.34626595421658785,train
18,0.005445945691295908,0.0018153152304319694,0.44237093120044396,0.41681010229981363,1.0613248785468359,3,1.047654943493374,1.0422089978020783,train
19,0.006105489287127593,0.0020351630957091975,0.09484538360884089,0.6611919097679093,0.1434460739880096,0,1.5502263042134172,1.5441208149262893,train
20,0.006802721088435373,0.0022675736961451243,0.21501753199378107,0.9314552226770957,0.23084043844405008,1,2.273838095514937,2.2670353744265013,train
21,0.00753764109521925,0.00251254703173975,1.0441783834918092,1.4656834793898388,0.7124173794511887,3,3.3777024954122843,3.370164854317065,train
22,0.008310249307479223,0.0027700831024930744,1.5121701965530963,2.2510829464656172,0.6717523221111537,3,1.7055972358593805,1.6972869865519014,train
23,0.009120545725215293,0.0030401819084050975,0.8421834247733613,1.2374637974872384,0.6805721722796876,3,1.6722338862937853,1.6631133405685699,train
24,0.009968530348427459,0.0033228434494758196,0.848038758973939,1.13690529538597,0.7459185584020319,3,2.979328977179787,2.969360446831359,train
25,0.010854203177115721,0.0036180677257052402,1.4729734605136324,1.9641614442171385,0.7499248418964459,3,3.1777692321995126,3.166915029022397,train
26,0.01177756421128008,0.00392585473709336,1.494823621573927,2.1459534343456643,0.6965778463080783,3,2.463626631674977,2.4518490674636975,train
27,0.012738613450920533,0.004246204483640177,1.3209115269081408,1.6765669693100982,0.7878668440257365,3,3.1560394484761543,3.1433008350252334,train
28,0.013737350896037084,0.004579116965345694,1.4841923779490287,2.082597940897111,0.7126639034847456,3,2.5462216545805387,2.532484303684502,train
29,0.014773776546629732,0.0049245921822099106,1.360862232723088,1.7289261201651698,0.7871141611262605,3,1.9939412625914432,1.9791674860448139,train
