componente,t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,rmse,mae,r2_local,sd_obs,sd_pred,crps,cobertura,ancho,winkler,picp,mpiw
FPC 1,2,21,11,train,20,False,0.6736070485662367,0.5547339242076804,0.22182382694925074,0.7834402061561833,0.45236958218045437,0.38066939745098977,1.0,3.274717161580919,3.274717161580919,1.0,3.274717161580919
FPC 1,3,22,12,train,20,False,0.6532827189493113,0.5401499005329659,0.21496178212782746,0.7564739330655358,0.45178160405028644,0.3705421568290527,1.0,3.279092628732323,3.279092628732323,1.0,3.279092628732323
FPC 1,4,23,13,train,20,False,0.7339529137063566,0.5706329734593367,0.11139635329277908,0.7988262923354166,0.4466562165376372,0.40194226978780695,0.95,3.2599161457270376,4.18810958985353,0.95,3.2599161457270376
FPC 1,5,24,14,train,20,False,0.7272740173299171,0.5532222181834239,0.10595293989146604,0.7891436747239923,0.45321019025172665,0.39708029201059347,0.95,3.2630469986051316,4.191240442731624,0.95,3.2630469986051316
FPC 1,6,25,15,train,20,False,0.7435954183473127,0.5707979196600261,0.09916165513883535,0.8038064199992712,0.4506050491391864,0.4068250440226556,0.95,3.2763668669015162,4.204560311028009,0.95,3.2763668669015162
FPC 1,7,26,16,train,20,False,0.745662371740311,0.573223168182733,0.07517892890022737,0.7955208509556824,0.45592047026624866,0.40662077186324364,0.95,3.276585849449038,4.204779293575531,0.95,3.276585849449038
FPC 1,8,27,17,train,20,False,0.7456540384547435,0.5730144892738198,0.0642387689192041,0.7908480489917621,0.4446013429512311,0.4058631974262248,0.95,3.2679473585635415,4.196140802690036,0.95,3.2679473585635415
FPC 1,9,28,18,train,20,False,0.7251132163022647,0.5369225961189048,0.01936580634544305,0.7512604082975806,0.43513350352885843,0.3931326993053036,0.95,3.2536252113431687,4.1818186554696615,0.95,3.2536252113431687
FPC 1,10,29,19,train,20,False,0.7203363427567837,0.5278555312475988,-0.04277134478832467,0.7237340068652826,0.42309782624751086,0.39047163911325616,0.95,3.245801232680678,4.173994676807171,0.95,3.245801232680678
FPC 1,11,30,20,train,20,False,0.7723797453112283,0.5685093933230081,-0.08213743133358165,0.7617770138805878,0.40643696991281025,0.42087752504509934,0.95,3.2401390608400105,4.168332504966503,0.95,3.2401390608400105
