t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,mae_f,l2_medio,linf_max,linf_medio,q95_abs,razon_linf_l1,razon_agregacion,cobertura_puntual,ancho_medio,cobertura_simultanea,winkler,winkler_max_medio,winkler_max_glob,picp,mpiw,picp_simultaneo
2,21,11,train,20,False,1.4435711870490104,1.2014870731926375,0.8452744226518368,0.45533302409607457,1.1073537975045007,13.269900913878528,6.556923699327884,2.4083901749199645,14.364278383603963,0.921652693742262,0.9675,2.867102149882423,0.35,2.753392223913807,30.058826550293226,35.38393889874812,0.9675,2.867102149882423,0.35
3,22,12,train,20,False,1.3996998327533412,1.1830891060073798,0.8416187277216646,0.45645906087462523,1.0917983011192967,13.269900913878528,6.254194844649232,2.437498192978083,13.762349935057404,0.9228369153054196,0.9665,2.8681712046056873,0.3,2.7545998766160027,30.0417019263217,35.38393889874812,0.9665,2.8681712046056873,0.3
4,23,13,train,20,False,1.676869837792525,1.2949400904260109,0.8681470944902603,0.45977860552208505,1.1433022084347004,24.772876188070835,6.856913912870008,2.3746472818206628,14.360002128075095,0.8828996931113436,0.964,2.8560539382810393,0.3,3.119935153009494,48.69686027564287,408.48710588517145,0.964,2.8560539382810393,0.3
5,24,14,train,20,False,1.7237596458539723,1.3129202739899983,0.8767461384888067,0.4677873570949965,1.167307148128505,24.772876188070835,7.063052366943478,2.4613240744118405,14.570934521076982,0.8890921796652806,0.961,2.8588292196266893,0.3,3.122610273142145,48.803538403316296,408.48710588517145,0.961,2.8588292196266893,0.3
6,25,15,train,20,False,1.6641039963652045,1.2900015489778314,0.8761911871741092,0.45905521332298854,1.1480839819127795,24.772876188070835,6.923194740301237,2.34190817880818,14.634204270053198,0.889986514219689,0.9615,2.865078883790312,0.3,3.12815905815127,48.94324625554091,408.48710588517145,0.9615,2.865078883790312,0.3
7,26,16,train,20,False,1.6381403739781164,1.2798985795671922,0.9054598693113189,0.4460808664905298,1.136865758128899,24.772876188070835,6.938385176806946,2.348276761028287,14.812664339134793,0.8882467535149069,0.9635,2.866052586710074,0.35,3.125230508678185,49.00308466934328,408.48710588517145,0.9635,2.866052586710074,0.35
8,27,17,train,20,False,1.6054505947443733,1.2670637690125834,0.9289573849005803,0.43258613274558544,1.1052887061377823,24.772876188070835,6.795823149403906,2.248667186544062,14.92706549212472,0.8723228721148965,0.9635,2.859439015310049,0.35,3.118635270677252,48.98679559479456,408.48710588517145,0.9635,2.859439015310049,0.35
9,28,18,train,20,False,1.56342909664929,1.2503715834300178,0.93640701533819,0.4329807380342633,1.0913649253968272,24.772876188070835,6.563309872500875,2.313101783744626,14.486885984603827,0.8728324762491773,0.963,2.8516089624164684,0.35,3.1127252835879267,48.84902470607594,408.48710588517145,0.963,2.8516089624164684,0.35
10,29,19,train,20,False,1.5464656437653175,1.2435697180959808,0.962392943242459,0.42560883623831147,1.0768657116444635,24.772876188070835,6.508666788909586,2.281897929158391,14.66926324435085,0.8659471969880737,0.9645,2.851087167754921,0.4,3.1122891151595544,48.81752939252144,408.48710588517145,0.9645,2.851087167754921,0.4
11,30,20,train,20,False,1.701628587625451,1.3044648663821694,0.9858122852553083,0.44694584292813133,1.1287101540340347,24.772876188070835,6.88597047029768,2.3560464103522194,14.384977161589294,0.8652668102625283,0.96,2.848174964369022,0.4,3.161287897171414,53.30005112830618,408.48710588517145,0.96,2.848174964369022,0.4
12,31,21,train,20,False,1.703123368635871,1.3050376885882917,1.0873076346625004,0.4489218921750323,1.1293989664768056,24.772876188070835,6.819462395320026,2.381649292113248,14.184627626647222,0.865414827749932,0.96,2.8882651193963094,0.4,3.199364448213722,53.778632191321186,408.48710588517145,0.96,2.8882651193963094,0.4
13,32,22,train,20,False,1.7136795404730685,1.3090758345004572,1.150599251636866,0.4554122547408658,1.1449185355698859,24.772876188070835,6.918521670108111,2.4124908937988767,14.434621802826337,0.8746006193039126,0.96,2.8825936579338958,0.4,3.1946932221773836,53.56897147598661,408.48710588517145,0.96,2.8825936579338958,0.4
14,33,23,train,20,False,1.7087019704765756,1.307173274847897,1.1742679067246997,0.45530505491004203,1.1420065394940406,24.772876188070835,6.906071952195331,2.4075762626128627,14.40260473945045,0.873645875009895,0.9605,2.8840412880341777,0.45,3.195723578853188,53.651995386461316,408.48710588517145,0.9605,2.8840412880341777,0.45
