M,bloque,modelo,MISE,RMSE_func,RMSE_scores,R2_scores,MISE_VAR,MISE_rel_VAR
3,train,VAR,1.263029249702632,1.123845741061749,0.8395629360101976,0.28960682955309186,1.263029249702632,1.0
3,train,FAR1,1.263072331880293,1.1238649081986203,0.8395733491100493,0.28959097740500567,1.263029249702632,1.0000341101979
3,train,RF,0.894242806921273,0.9456441227656803,0.6861334823259918,0.5223261658360027,1.263029249702632,0.70801432914702
3,train,GBT,0.12241085855895116,0.3498726319090294,0.24522798960556347,0.9375106009626992,1.263029249702632,0.09691846692210145
3,train,media,2.1594285379461455,1.4694994174705023,1.0013514445207816,-3.145431691257509e-06,1.263029249702632,1.7097217174143529
3,train,persistencia,1.57189130208059,1.2537508931524595,0.9759967762553649,0.02665380378967978,1.263029249702632,1.2445406964650079
3,train,(truncamiento FPCA),0.009641590314018908,0.09819160001761305,,,1.263029249702632,0.007633703112013381
3,train,PSBPM-FD,1.1971369676562138,1.0941375451268518,0.7977293246650018,0.35333959820583666,1.263029249702632,0.9478299635088167
3,test,VAR,1.6480190011408202,1.2837519235198132,0.9192683145690217,0.3291135646174092,1.6480190011408202,1.0
3,test,FAR1,1.659857468848232,1.2883545586709553,0.9207466759585267,0.3272126011999306,1.6480190011408202,1.0071834534063118
3,test,RF,3.339934476958561,1.8275487618552237,1.1161794999647592,0.029703029247305206,1.6480190011408202,2.0266359032550803
3,test,GBT,2.4804341962944836,1.5749394262302545,1.1201353933218332,0.025286869878987057,1.6480190011408202,1.505100484021989
3,test,media,7.755540928904786,2.784877183809869,1.431661031090451,-0.6801427235855922,1.6480190011408202,4.705977857983501
3,test,persistencia,1.3327324722135634,1.1544403285633966,0.9729104875339738,0.19450278654088538,1.6480190011408202,0.8086875644582958
3,test,(truncamiento FPCA),0.011268984283280794,0.1061554722248495,,,1.6480190011408202,0.006837897060337279
3,test,PSBPM-FD,1.77936833873395,1.333929660339686,0.9363916773667204,0.30724906213909714,1.6480190011408202,1.0797013490149112
