t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,mae_f,l2_medio,linf_max,linf_medio,q95_abs,razon_linf_l1,razon_agregacion,cobertura_puntual,ancho_medio,cobertura_simultanea,winkler,winkler_max_medio,winkler_max_glob,picp,mpiw,picp_simultaneo,banda
2,21,11,train,20,False,1.292320949025674,1.136802950834345,1.1080406628005697,0.4685127499940146,1.0497580251771883,16.3499570088205,6.276631432556497,2.097995806883243,13.042033050129442,0.9234300671076983,0.9845,2.667912293950232,0.7,2.697130493590895,33.0093253395599,47.0996659322242,0.9845,2.667912293950232,0.7,FAR (IC del modelo AR)
3,22,12,train,20,False,1.2885459422844021,1.1351413754614013,1.1552090887903554,0.4793515645484868,1.0474594788666252,16.3499570088205,6.084807354732897,2.158205663592976,11.965233063107853,0.9227568490672488,0.9845,2.667912293950232,0.7,2.6971304935908944,33.0093253395599,47.0996659322242,0.9845,2.667912293950232,0.7,FAR (IC del modelo AR)
4,23,13,train,20,False,1.5524819490715598,1.2459863358285916,1.095877841465938,0.4909594573000497,1.1095626722835377,22.212147856413115,6.708197848665916,2.1042629390427012,12.494516628764405,0.8905095026950429,0.9825,2.667912293950232,0.65,2.922389529925062,45.49158871446002,281.58729983592843,0.9825,2.667912293950232,0.65,FAR (IC del modelo AR)
5,24,14,train,20,False,1.6712420491549984,1.2927652722574963,1.0905559082543617,0.5101537648800346,1.1639591604411759,22.212147856413115,7.168213597135531,2.1290156141228826,12.78636054338911,0.9003638830803428,0.9775,2.667912293950232,0.6,2.9476483820257564,45.49158871446002,281.58729983592843,0.9775,2.667912293950232,0.6,FAR (IC del modelo AR)
6,25,15,train,20,False,1.5516475440802031,1.2456514536900773,1.119368953971614,0.5006695988214163,1.1265193083864278,22.212147856413115,6.7285132605682305,2.172944706527115,12.366790827195137,0.9043615732549131,0.9785,2.667912293950232,0.6,2.948115595064711,45.18217739254112,281.58729983592843,0.9785,2.667912293950232,0.6,FAR (IC del modelo AR)
7,26,16,train,20,False,1.5173791883713914,1.2318194625720895,1.1642350127466083,0.48768742398019693,1.1061064647216172,22.212147856413115,6.618541724944421,2.1450798067319936,12.365600873192955,0.8979452739056595,0.9835,2.667912293950232,0.65,2.873241407713695,45.18217739254112,281.58729983592843,0.9835,2.667912293950232,0.65,FAR (IC del modelo AR)
8,27,17,train,20,False,1.4998648728055293,1.2246897047030032,1.161505610047684,0.48595511675306335,1.098249779240525,22.212147856413115,6.697361373690173,2.088406720303402,12.576322881547336,0.896757582776332,0.9865,2.667912293950232,0.7,2.8320306338097683,45.18217739254112,281.58729983592843,0.9865,2.667912293950232,0.7,FAR (IC del modelo AR)
9,28,18,train,20,False,1.3927634506652604,1.180153994470747,1.1537587091578587,0.48343090261244975,1.068156059537613,22.212147856413115,6.455863727189268,2.1488865967424786,12.292759798105385,0.9050988807749951,0.9875,2.667912293950232,0.75,2.823782120722356,44.42429571282621,281.58729983592843,0.9875,2.667912293950232,0.75,FAR (IC del modelo AR)
10,29,19,train,20,False,1.391323482167721,1.1795437601749759,1.157614559029168,0.4814297506212757,1.0664738000134992,22.212147856413115,6.519327108986559,2.1351399332877827,12.599658044627656,0.9041409365391382,0.9885,2.667912293950232,0.8,2.823630869554393,44.42429571282621,281.58729983592843,0.9885,2.667912293950232,0.8,FAR (IC del modelo AR)
11,30,20,train,20,False,1.4939211678113118,1.222260679156174,1.1335859071958387,0.48697432648851013,1.104884284409522,22.212147856413115,7.015596256934614,2.141989983668003,13.248937354460347,0.9039677895654089,0.9825,2.667912293950232,0.75,2.9288623539950556,44.42429571282621,281.58729983592843,0.9825,2.667912293950232,0.75,FAR (IC del modelo AR)
