fpc,fourier_alineada,corr_alineacion,var_ratio_train,var_ratio_test,razon_test_train,ar1_score,phi_generador,intercambiada,retenida
1,1,0.9719822608663166,0.44828576415984733,0.2500210167741803,0.44897965160121,0.6803188884518747,0.7,True,True
2,2,0.9347764855220742,0.3017500204295832,0.4065064780207378,1.0844892509360768,0.7402691654932643,0.7,True,True
3,3,0.9525421831553176,0.12192675598340567,0.16762289554536305,1.106724205419718,0.6937623045964546,0.7,False,True
4,4,0.9232763176159408,0.06440535455678144,0.09303995057163257,1.1629273507008722,0.6981618267468154,0.7,False,True
5,5,0.9799059930897165,0.0350398572320001,0.04423368224620696,1.0162389936279153,0.7106843496114852,0.7,False,True
6,6,0.95431681248438,0.01391538693928427,0.018930104929291737,1.0951228061408762,0.6365935376326188,0.7,False,False
7,7,0.9116232815617376,0.008012452760246074,0.008915032925941603,0.8956999678292522,0.6200565894189842,0.7,False,False
8,8,0.8964254700916946,0.002907812997244671,0.005108278263691248,1.4142075853497311,0.5478625685882118,0.7,False,False
9,9,0.8660657255842837,0.0020313896238109627,0.0034621663446155852,1.3720179387672853,0.4942127691299478,0.7,False,False
10,10,0.7223823055055484,0.0010847586784722134,0.0012922072712060687,0.9589680462202452,0.30703214730267425,0.7,False,False
11,10,0.03813753583744353,0.00034159705794032833,0.0005088762188762775,1.1992317640957475,-0.055277079343388234,0.7,False,False
12,8,0.021052852250539326,0.00029884958138360506,0.0003593108882566357,0.9678828958912159,-0.10918748930332446,0.7,False,False
