t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,modelo
2,11,6,train,10,False,1.0953413547302413,1.046585569712406,1.0863330935022388,VAR
3,12,7,train,10,False,1.1286761868411799,1.0623917294676102,1.111793322702982,VAR
4,13,8,train,10,False,1.1306622257818544,1.0633260204574393,1.0819111227522908,VAR
5,14,9,train,10,False,1.0718542156544963,1.0353039242920392,1.00662555520681,VAR
6,15,10,train,10,False,1.091288784509067,1.044647684393675,1.0440102411078611,VAR
7,16,11,train,10,False,1.2103241690023991,1.1001473396788264,1.0574473385638388,VAR
8,17,12,train,10,False,1.08785800643635,1.043004317554031,1.167293468968326,VAR
9,18,13,train,10,False,0.6421234301621604,0.8013260448545027,0.6397312405678477,VAR
10,19,14,train,10,False,0.6945668066841514,0.8334067474433786,0.6403010379195102,VAR
11,20,15,train,10,False,0.675411143243755,0.8218340119779388,0.5939549368898239,VAR
12,21,16,train,10,False,0.7424822042939244,0.8616740708028323,0.5879587052965375,VAR
13,22,17,train,10,False,0.7482314156636045,0.8650037084681225,0.5431647143233552,VAR
14,23,18,train,10,False,0.7238582211984855,0.8507985785122619,0.6626935632849803,VAR
15,24,19,train,10,False,0.7336448098640354,0.8565306823833198,0.7338364938611619,VAR
16,25,20,train,10,False,0.6685423906912549,0.8176444158014258,0.847367590286134,VAR
17,26,21,train,10,False,0.5547276466001733,0.7448004072234207,0.7989709556525477,VAR
18,27,22,train,10,False,0.6732083660703964,0.820492758085284,1.0632036129654885,VAR
19,28,23,train,10,False,0.706387745607146,0.8404687653965173,1.0804503878227976,VAR
20,29,24,train,10,False,0.651599967187334,0.8072174224998703,1.20441549977357,VAR
21,30,25,train,10,False,0.7076442270176703,0.8412159217571136,1.281961911629659,VAR
22,31,26,train,10,False,0.6470323085605494,0.8043831851552775,1.1956050014422905,VAR
23,32,27,train,10,False,0.681625251165833,0.8256059902676536,1.344458844930896,VAR
24,33,28,train,10,False,0.700592051883884,0.8370137704266782,1.1338516788656774,VAR
25,34,29,train,10,False,0.9620128981817047,0.980822562027253,1.1887515587752655,VAR
26,35,30,train,10,False,0.9497151477428935,0.9745332974008089,1.2227481845522634,VAR
27,36,31,train,10,False,0.9505289596540077,0.974950747296502,1.4853132128401594,VAR
