t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,cobertura_puntual,ancho_medio,M
2,21,11,train,20,False,1.16112994640435,1.0775573981948015,1.114773000359204,0.9673333333333334,5.4517832172258025,M=2
3,22,12,train,20,False,0.9661514325254142,0.9829300242262489,1.155915936202799,0.9913333333333333,5.476441100795632,M=2
4,23,13,train,20,False,0.9686063757866373,0.9841780203736706,1.1472591540537407,0.9913333333333333,5.391417673515384,M=2
5,24,14,train,20,False,0.946527032944861,0.9728962087215989,1.1629556593057342,0.9913333333333333,5.428790440336953,M=2
6,25,15,train,20,False,0.9997477273919152,0.9998738557397704,1.2020836611706462,0.9913333333333333,5.413636940899747,M=2
7,26,16,train,20,False,0.9470048684092255,0.9731417514469439,1.148077804297905,0.9913333333333333,5.3716715534230035,M=2
8,27,17,train,20,False,0.8838507896962338,0.9401333893103859,1.074621887393843,0.9913333333333333,5.366718143838641,M=2
9,28,18,train,20,False,0.9089836016697348,0.9534063150985181,1.169611546657546,1.0,5.359354710021713,M=2
10,29,19,train,20,False,0.8999506219820977,0.948657273193063,1.1699616665363026,1.0,5.320953746518621,M=2
11,30,20,train,20,False,0.9875802578773939,0.9937707270177533,1.1721005626611114,1.0,5.308253952562948,M=2
12,31,21,train,20,False,1.0219183540861234,1.0108997745009756,1.2742506838749197,1.0,5.345369090225172,M=2
13,32,22,train,20,False,1.2578440898553056,1.1215364861899526,1.21222343424576,0.9893333333333333,5.352232344782621,M=2
14,33,23,train,20,False,1.262155988964658,1.1234571593811034,1.1076612512845156,0.9893333333333333,5.46709469677986,M=2
15,34,24,train,20,False,1.3834079320456936,1.1761836302404882,1.0649605049817013,0.9893333333333333,5.524704880740571,M=2
16,35,25,train,20,False,1.363698671990827,1.1677750947810228,0.9749747218131888,0.9893333333333333,5.535770237922446,M=2
17,36,26,train,20,False,1.3213166799587548,1.149485397888444,0.9380584346444454,0.9893333333333333,5.523337354877733,M=2
18,37,27,train,20,False,1.297578582500546,1.1391130683564936,0.888632622892353,0.9893333333333333,5.496375163710732,M=2
19,38,28,train,20,False,1.3260283061600335,1.1515330243462554,0.9174455110453571,0.9893333333333333,5.502042656019037,M=2
20,39,29,train,20,False,1.2855697286974819,1.133829673583066,0.9154921995295453,0.9893333333333333,5.497666992491439,M=2
21,40,30,train,20,False,1.2723917568083498,1.1280034382963333,0.913693531209597,0.9893333333333333,5.476054493284001,M=2
22,41,31,train,20,False,1.3012575338325516,1.1407267568671087,0.8825442813007841,0.9893333333333333,5.450664373527084,M=2
23,42,32,train,20,False,1.2593504748105422,1.1222078572218883,0.8889041877824927,0.9893333333333333,5.436664781839697,M=2
24,43,33,train,20,False,1.2625939400009352,1.1236520546863853,0.8820273615233225,0.9893333333333333,5.431543319318533,M=2
25,44,34,train,20,False,1.2364048919692865,1.1119374496658014,0.8739862708908707,0.9893333333333333,5.450983101290721,M=2
26,45,35,train,20,False,1.059666269538229,1.0294009275001792,0.8423674832016126,0.9893333333333333,5.433062631371937,M=2
27,46,36,train,20,False,1.0991538396230187,1.0484053794325068,0.8919513789393444,0.9893333333333333,5.390868841454322,M=2
28,47,37,train,20,False,1.1524456431854364,1.0735202108881958,0.8092731373212331,0.9893333333333333,5.373057033198355,M=2
29,48,38,train,20,False,0.9889943728432806,0.9944819620502328,0.7225149396700143,0.9893333333333333,5.386121433296508,M=2
30,49,39,train,20,False,0.9941472833623507,0.9970693473186059,0.7257387078354932,0.9893333333333333,5.37370298295179,M=2
31,50,40,train,20,False,0.9735652433144235,0.986694098145126,0.7000108201886245,0.9893333333333333,5.3583214366053165,M=2
32,51,41,train,20,False,0.9297595254804405,0.964240387808165,0.7061180829543052,0.9893333333333333,5.314404566116346,M=2
33,52,42,train,20,False,0.6935371588461273,0.8327887840539925,0.7447155925899498,1.0,5.285565992746305,M=2
34,53,43,train,20,False,0.6820522915022765,0.8258645721317004,0.9266508174375775,1.0,5.193451312894151,M=2
35,54,44,train,20,False,0.7002182597532614,0.8367904515189339,0.9406240690503787,1.0,5.129383010959732,M=2
36,55,45,train,20,False,0.6593970795649613,0.8120326838034053,0.9331975224818432,1.0,5.149567051192806,M=2
37,56,46,train,20,False,0.6780877587892158,0.8234608422925863,0.9269024251543668,1.0,5.163899382925771,M=2
38,57,47,train,20,False,0.753700458829765,0.8681592358719482,0.9669824153535853,1.0,5.152870595527229,M=2
39,58,48,train,20,False,0.7216864626925504,0.8495213138541907,0.9472273499500696,1.0,5.1705735897556515,M=2
40,59,49,train,20,False,0.8444710289998977,0.9189510482065395,0.9650572733010647,1.0,5.196737551678435,M=2
41,60,50,train,20,False,0.9300626349489928,0.9643975502607796,0.9761087352636237,1.0,5.206268511683468,M=2
42,61,51,train,20,False,0.8838530391808634,0.9401345856742339,0.9250580820699805,1.0,5.230854062719313,M=2
43,62,52,train,20,False,0.875668551018474,0.9357716340103893,0.9107639500025139,1.0,5.242310059502944,M=2
44,63,53,train,20,False,0.9002702845960066,0.9488257398468944,0.936638277381448,1.0,5.227342408268565,M=2
