objetivo,t,bloque,I_t_puntual,I_t_simultaneo
curva_suavizada,5,train,1.0,1.0
curva_suavizada,6,train,0.9333333333333333,0.0
curva_suavizada,7,train,0.96,0.0
curva_suavizada,8,train,0.7066666666666667,0.0
curva_suavizada,9,train,1.0,1.0
curva_suavizada,10,train,1.0,1.0
curva_suavizada,11,train,1.0,1.0
curva_suavizada,12,train,1.0,1.0
curva_suavizada,13,train,1.0,1.0
curva_suavizada,14,train,1.0,1.0
curva_suavizada,15,train,1.0,1.0
curva_suavizada,16,train,0.92,0.0
curva_suavizada,17,train,0.68,0.0
curva_suavizada,18,train,0.8533333333333334,0.0
curva_suavizada,19,train,0.9733333333333334,0.0
curva_suavizada,20,train,1.0,1.0
curva_suavizada,21,train,1.0,1.0
curva_suavizada,22,train,1.0,1.0
curva_suavizada,23,train,1.0,1.0
curva_suavizada,24,train,0.84,0.0
curva_suavizada,25,train,0.7733333333333333,0.0
curva_suavizada,26,train,0.8133333333333334,0.0
curva_suavizada,27,train,0.6533333333333333,0.0
curva_suavizada,28,train,1.0,1.0
curva_suavizada,29,train,1.0,1.0
curva_suavizada,30,train,1.0,1.0
curva_suavizada,31,train,0.6533333333333333,0.0
curva_suavizada,32,train,1.0,1.0
curva_suavizada,33,train,0.8133333333333334,0.0
curva_suavizada,34,train,1.0,1.0
curva_suavizada,35,train,1.0,1.0
curva_suavizada,36,train,1.0,1.0
curva_suavizada,37,train,1.0,1.0
curva_suavizada,38,train,0.8266666666666667,0.0
curva_suavizada,39,train,0.8133333333333334,0.0
curva_suavizada,40,train,1.0,1.0
curva_suavizada,41,train,0.9733333333333334,0.0
curva_suavizada,42,train,1.0,1.0
curva_suavizada,43,train,1.0,1.0
curva_suavizada,44,train,0.84,0.0
curva_suavizada,45,train,1.0,1.0
curva_suavizada,46,train,1.0,1.0
curva_suavizada,47,train,1.0,1.0
curva_suavizada,48,train,1.0,1.0
curva_suavizada,49,train,1.0,1.0
curva_suavizada,50,train,1.0,1.0
curva_suavizada,51,train,1.0,1.0
curva_suavizada,52,train,0.8666666666666667,0.0
curva_suavizada,53,train,0.96,0.0
curva_suavizada,54,train,1.0,1.0
curva_suavizada,55,train,1.0,1.0
curva_suavizada,56,train,1.0,1.0
curva_suavizada,57,train,1.0,1.0
curva_suavizada,58,train,1.0,1.0
curva_suavizada,59,train,1.0,1.0
curva_suavizada,60,train,1.0,1.0
curva_suavizada,61,train,0.9733333333333334,0.0
curva_suavizada,62,train,0.88,0.0
curva_suavizada,63,train,1.0,1.0
curva_suavizada,64,train,0.9466666666666667,0.0
curva_suavizada,65,train,1.0,1.0
curva_suavizada,66,train,0.8,0.0
curva_suavizada,67,train,0.9333333333333333,0.0
curva_suavizada,68,train,1.0,1.0
curva_suavizada,69,train,1.0,1.0
curva_suavizada,70,train,0.96,0.0
curva_suavizada,71,train,1.0,1.0
curva_suavizada,72,train,0.7733333333333333,0.0
curva_suavizada,73,train,0.8933333333333333,0.0
curva_suavizada,74,train,0.8,0.0
curva_suavizada,75,train,1.0,1.0
curva_suavizada,76,train,1.0,1.0
curva_suavizada,77,train,1.0,1.0
curva_suavizada,78,train,1.0,1.0
curva_suavizada,79,train,1.0,1.0
curva_suavizada,80,train,1.0,1.0
curva_suavizada,81,train,1.0,1.0
curva_suavizada,82,train,1.0,1.0
curva_suavizada,83,train,1.0,1.0
curva_suavizada,84,train,1.0,1.0
curva_suavizada,85,train,1.0,1.0
curva_suavizada,86,train,1.0,1.0
curva_suavizada,87,train,1.0,1.0
curva_suavizada,88,train,1.0,1.0
curva_suavizada,89,train,0.76,0.0
curva_suavizada,90,train,1.0,1.0
curva_suavizada,91,train,1.0,1.0
curva_suavizada,92,train,0.6666666666666666,0.0
curva_suavizada,93,train,0.9466666666666667,0.0
curva_suavizada,94,train,0.92,0.0
curva_suavizada,95,train,0.76,0.0
curva_suavizada,96,train,1.0,1.0
curva_suavizada,97,train,1.0,1.0
curva_suavizada,98,train,1.0,1.0
curva_suavizada,99,train,0.76,0.0
curva_suavizada,100,train,1.0,1.0
curva_suavizada,101,train,1.0,1.0
curva_suavizada,102,train,1.0,1.0
curva_suavizada,103,train,1.0,1.0
curva_suavizada,104,train,0.7866666666666666,0.0
curva_suavizada,105,train,0.76,0.0
curva_suavizada,106,train,0.8533333333333334,0.0
curva_suavizada,107,train,1.0,1.0
curva_suavizada,108,train,1.0,1.0
curva_suavizada,109,train,0.37333333333333335,0.0
curva_suavizada,110,train,1.0,1.0
curva_suavizada,111,train,0.9466666666666667,0.0
curva_suavizada,112,train,0.8,0.0
curva_suavizada,113,train,1.0,1.0
curva_suavizada,114,train,1.0,1.0
curva_suavizada,115,train,1.0,1.0
curva_suavizada,116,train,0.8133333333333334,0.0
curva_suavizada,117,train,0.8933333333333333,0.0
curva_suavizada,118,train,0.6133333333333333,0.0
curva_suavizada,119,train,1.0,1.0
curva_suavizada,120,train,1.0,1.0
curva_suavizada,121,train,0.7866666666666666,0.0
curva_suavizada,122,train,1.0,1.0
curva_suavizada,123,train,0.8133333333333334,0.0
curva_suavizada,124,train,1.0,1.0
curva_suavizada,125,train,1.0,1.0
curva_suavizada,126,train,1.0,1.0
curva_suavizada,127,train,1.0,1.0
curva_suavizada,128,train,1.0,1.0
curva_suavizada,129,train,0.7466666666666667,0.0
