componente,t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,rmse,mae,r2_local,sd_obs,sd_pred,crps,cobertura,ancho
FPC 1,2,21,11,train,20,False,0.8570063677699652,0.6235262605076851,-1.7401229500220214,0.5311745041130785,0.4613366480477379,0.43285681377055474,0.95,3.2355757200717923
FPC 1,3,22,12,train,20,False,0.8652295609236118,0.6345164857027051,-1.08117693868479,0.6153398534862754,0.46898440667721364,0.4410425400185506,0.95,3.282350170612335
FPC 1,4,23,13,train,20,False,0.8625862708421557,0.6294417584031943,-1.2516929362251905,0.5897747241814442,0.4543569676098054,0.4368207478546918,0.95,3.300171722471714
FPC 1,5,24,14,train,20,False,0.8548137157343019,0.6078310290231757,-1.0525594397129483,0.6121555734936608,0.4736313598173192,0.43511873656686495,0.95,3.3587788864970207
FPC 1,6,25,15,train,20,False,0.7826141004568642,0.5710279330262931,-0.7581193255648049,0.6055662906874579,0.44856917502536264,0.40553153325469193,1.0,3.3310454986989497
FPC 1,7,26,16,train,20,False,0.7819580293492265,0.5655393476564383,-0.37995642577697275,0.6829500705949072,0.5105751774609579,0.4122669953219689,1.0,3.407875301986933
FPC 1,8,27,17,train,20,False,0.7474322540020353,0.5179651594255583,-0.25949219043963456,0.6833013722957396,0.4780751301320278,0.39092759074168165,1.0,3.364722975343466
FPC 1,9,28,18,train,20,False,0.7684254892052746,0.5461753301116619,-0.21774420759388935,0.7144336856433603,0.4868253030439429,0.4039802128571746,1.0,3.3271996521949765
FPC 1,10,29,19,train,20,False,0.5968997189801639,0.4380593394299102,0.18055252899130503,0.6765174639375996,0.4307527580761767,0.33692723072831704,1.0,3.2736292770504947
FPC 1,11,30,20,train,20,False,0.6336615189753332,0.4780407459351109,0.10520438098927243,0.6872798431004415,0.4308098811689257,0.3554320289885181,1.0,3.307313849776983
FPC 1,12,31,21,train,20,False,0.6276926195813936,0.4732688092543624,0.130749500762522,0.6907370400285816,0.417939422644881,0.35056817638300236,1.0,3.3266167423129085
FPC 1,13,32,22,train,20,False,0.7317942013219431,0.5348894837513882,-0.031548998144089735,0.7392345055119214,0.4248201866105035,0.3963484944603427,0.95,3.341150344014168
FPC 1,14,33,23,train,20,False,0.7296109299820658,0.5313047362956911,-0.03593494528742114,0.7354671626558513,0.42376191678280184,0.3953680009401649,0.95,3.3554957158863545
FPC 1,15,34,24,train,20,False,0.7295323912895141,0.5311012222887322,-0.029952599251480194,0.7375206041789683,0.41988733822915214,0.3960805680399577,0.95,3.3657453225553047
FPC 1,16,35,25,train,20,False,0.7320900554589251,0.5382505903409605,-0.022802494842300458,0.7426886989147231,0.4098627915059089,0.39961690132393646,0.95,3.3783753838390114
FPC 1,17,36,26,train,20,False,0.7422666995980616,0.555627332913612,-0.03502708493379103,0.7485525896945109,0.40321129898056707,0.4080740462096967,0.95,3.3675388438999656
FPC 1,18,37,27,train,20,False,0.75213068211587,0.5821810211474949,-0.054243746244952096,0.7515553766349006,0.41478179331298887,0.4155803129583876,0.95,3.3603537760674955
FPC 1,19,38,28,train,20,False,0.7493025968556366,0.5765882314930331,-0.04596808425912169,0.7516855792136689,0.4117140109126608,0.41386592399522487,0.95,3.3697112122178083
FPC 1,20,39,29,train,20,False,0.7588678584982691,0.5900200543183927,-0.07146492903242718,0.7521689058857425,0.41687165941419607,0.419420246561699,0.95,3.3474056527018545
FPC 1,21,40,30,train,20,False,0.6804006074242506,0.5261560559515407,0.06926146574846159,0.7235841457402106,0.40621466095441383,0.38211282239067257,0.95,3.333114117085934
FPC 1,22,41,31,train,20,False,0.6986683282350697,0.5533626756638442,0.09463910858131408,0.7533527683985743,0.3946742578978688,0.3966809678043363,0.95,3.3753851715475323
FPC 1,23,42,32,train,20,False,0.7238795470612653,0.5723556243661279,-0.1283462904147854,0.6991708295852708,0.41424497403769966,0.4062957425562228,0.95,3.3856421341747045
FPC 1,24,43,33,train,20,False,0.7421696246324493,0.5940972283561776,-0.08006310568057295,0.7326841682735258,0.41381911431139645,0.42120441148593357,0.95,3.3884142004698523
FPC 1,25,44,34,train,20,False,0.7582925132678129,0.624547379770094,-0.18668527627065568,0.7141791852885752,0.40068997345246576,0.42725339414747954,0.95,3.381547834798694
FPC 1,26,45,35,train,20,False,0.7079136343825857,0.5744309437327059,-0.16441813080057877,0.6730758289024361,0.4007177226933637,0.4010731128471673,0.95,3.386542700603605
FPC 1,27,46,36,train,20,False,0.7139045982374213,0.5932273374027017,-0.45655666880706813,0.6068965708781202,0.3022058093883672,0.39803558827188673,0.95,3.3360285500437024
FPC 1,28,47,37,train,20,False,0.7181968489046423,0.6072396899000406,-0.4762634215255195,0.6064566507734017,0.31751182897664976,0.3996974062729005,0.95,3.3151713342964655
FPC 1,29,48,38,train,20,False,0.707634580029928,0.5971332022550357,-0.5541406819240426,0.5823741376372742,0.3131024383211001,0.3916381123459536,0.95,3.320509524643421
FPC 1,30,49,39,train,20,False,0.7185444880080346,0.624931411422566,-0.49882890393134893,0.6021654445939648,0.31592569546500987,0.39868503703978203,0.95,3.3111599898338318
FPC 1,31,50,40,train,20,False,0.6979779814799467,0.6062185290160015,-0.4597033640273427,0.5927173163570462,0.31664416889592184,0.3899099029555086,0.95,3.2738811501860625
FPC 1,32,51,41,train,20,False,0.6935418752691181,0.6017894376128146,-0.5291605971141686,0.5754191834414013,0.31928285819543084,0.3867740278017668,0.95,3.2904942855238923
FPC 1,33,52,42,train,20,False,0.5744404541666749,0.528834370018489,-0.48883481579374144,0.4830142640473484,0.3097870179337948,0.3380509030147773,1.0,3.281463679820299
FPC 1,34,53,43,train,20,False,0.5672387386286966,0.5111091609669624,-0.4763416382156149,0.47897257318472464,0.3151473489124917,0.33714355404502394,1.0,3.2897220686078072
FPC 1,35,54,44,train,20,False,0.6246526559070844,0.55727386810592,-0.18618147695313958,0.5884386890087294,0.31956832199173163,0.3679879130170897,1.0,3.2778687046468264
FPC 1,36,55,45,train,20,False,0.6306729238956731,0.5662197033410301,-0.15114313484711706,0.6030838792099974,0.3196590641165005,0.37000626858797303,1.0,3.278575967848302
FPC 1,37,56,46,train,20,False,0.6199660394369191,0.5516623553970165,-0.09718491699298659,0.6072481261286717,0.30667508860532094,0.36532587888573376,1.0,3.3103461142629387
FPC 1,38,57,47,train,20,False,0.6118077920630262,0.5398350947844038,-0.045558330054152885,0.6138737574118647,0.29495587368118037,0.35981842855953056,1.0,3.3141732393950227
FPC 1,39,58,48,train,20,False,0.637471477157128,0.5668363466211137,-0.018072166834226744,0.6482009642603774,0.3013731896097767,0.3740113619704607,1.0,3.2976992923766373
FPC 1,40,59,49,train,20,False,0.634956794149233,0.5643619964961226,0.008666308784622823,0.6542932483103443,0.29693591240277206,0.3734390022422664,1.0,3.314181242361665
FPC 1,41,60,50,train,20,False,0.6435381397244233,0.5785288061046809,0.009664142424580247,0.6634699172915383,0.2969084767174929,0.37705491284048576,1.0,3.2905188561230903
FPC 1,42,61,51,train,20,False,0.6276164070225699,0.5601827461622287,-0.10295595916464695,0.6131311768065838,0.30346614318702253,0.36539830049045063,1.0,3.249556993022561
FPC 1,43,62,52,train,20,False,0.5859232058196511,0.5296609322895144,0.05015439574212999,0.616811393979951,0.24562216722364033,0.34672829263281935,1.0,3.2100564575940376
FPC 1,44,63,53,train,20,False,0.5556375360606898,0.49120407616330386,-0.08729089054729688,0.5467098510359942,0.24705856616328328,0.32774393345134123,1.0,3.1816490017622714
FPC 1,45,64,54,train,20,False,0.5567693668278021,0.4920899912503064,-0.02191902538956847,0.5650739512020395,0.20782321358230857,0.3288520888155778,1.0,3.1283395779877905
FPC 1,46,65,55,train,20,False,0.561353979392292,0.500182904586415,-0.10347863113923905,0.5482681774156203,0.20574768477765595,0.32823580096460875,1.0,3.0914151479303835
FPC 1,47,66,56,train,20,False,0.6152516345966308,0.5394590476235791,0.1480811387098735,0.6838988237721614,0.22244524043248484,0.35473122792901296,1.0,3.102301896810532
FPC 1,48,67,57,train,20,False,0.6100881117657313,0.5240707417046249,0.159187884510387,0.6826235692177652,0.2188312902018833,0.3512304026870927,1.0,3.1015708355605605
FPC 1,49,68,58,train,20,False,0.5980004129508997,0.5093833707489308,0.16624633602807815,0.6719250054709677,0.21937120856376296,0.3437635236916551,1.0,3.1012391880154615
FPC 1,50,69,59,train,20,False,0.6927304891556568,0.5645062930403536,0.3298923623211496,0.8682208600250271,0.27603143952660797,0.38298679886837245,1.0,3.1468434506654743
FPC 1,51,70,60,train,20,False,0.6812229228149006,0.5440805343002632,0.35463218606528657,0.8700091086732061,0.2818868438309193,0.37754279203774477,1.0,3.184092199504376
FPC 1,52,71,61,train,20,False,0.6894286359368226,0.551787836581986,0.3540013741044419,0.8800588577481717,0.27619375165655474,0.38588899985426883,1.0,3.1543884022533892
FPC 1,53,72,62,train,20,False,0.7405594448422708,0.5988773935890119,0.2949631892496142,0.9048825770429031,0.2741314539323044,0.41839317721545344,1.0,3.1149857453256846
