t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,modelo
2,11,6,train,10,False,2.003358722167704,1.4154005518466155,1.0106454743653666,VAR
3,12,7,train,10,False,2.0804160328289396,1.4423647364064818,1.0559775096619726,VAR
4,13,8,train,10,False,2.1193173110266157,1.4557875226236197,1.0975604479392087,VAR
5,14,9,train,10,False,1.9580559108424986,1.3993055101879999,1.061355047992159,VAR
6,15,10,train,10,False,2.001454457916151,1.4147276974443355,1.1094817828982428,VAR
7,16,11,train,10,False,2.2339658408489056,1.4946457241931632,1.0960805115997134,VAR
8,17,12,train,10,False,2.02921434970595,1.4245049489931405,1.1548383855769606,VAR
9,18,13,train,10,False,1.0448965558456877,1.0222018175711134,1.0352631357799746,VAR
10,19,14,train,10,False,1.1087731108154055,1.0529829584639085,1.0275773851793786,VAR
11,20,15,train,10,False,1.0864428718257821,1.0423257033316324,1.0005998689436142,VAR
12,21,16,train,10,False,1.1715988181246384,1.0824041842697387,1.0317358459603891,VAR
13,22,17,train,10,False,1.1827564208448251,1.0875460545856552,1.0573989504834667,VAR
14,23,18,train,10,False,1.1361451220110883,1.0659010845341552,1.1629209546268289,VAR
15,24,19,train,10,False,1.1556144358944276,1.0749950864512952,1.1108163271391025,VAR
16,25,20,train,10,False,1.0953579098462174,1.0465934787902214,1.1604030076910052,VAR
17,26,21,train,10,False,0.9072812616145759,0.952513129365982,1.1041309656713918,VAR
18,27,22,train,10,False,1.0128231483422536,1.006391150767063,1.063851299924079,VAR
19,28,23,train,10,False,1.0505329804129198,1.0249551114136266,1.0972636419446362,VAR
20,29,24,train,10,False,1.036424798726711,1.0180495070116733,1.1001649092028118,VAR
21,30,25,train,10,False,1.1508554418658161,1.0727793071577285,1.109589759206709,VAR
22,31,26,train,10,False,1.0934354661782315,1.0456746464260438,1.053891578004722,VAR
23,32,27,train,10,False,1.1891488389591534,1.0904810126541193,1.1328758162484915,VAR
24,33,28,train,10,False,1.2568148467616846,1.12107753824688,1.1706706366319775,VAR
25,34,29,train,10,False,1.7624181544503077,1.3275609795600003,1.3080534806459867,VAR
26,35,30,train,10,False,1.7597829769933147,1.3265681199973542,1.1873249474786378,VAR
27,36,31,train,10,False,1.7799990852216012,1.3341660635848902,1.4027200165646565,VAR
28,37,32,train,10,False,1.6772302687638856,1.2950792519239451,1.312543846562993,VAR
29,38,33,train,10,False,1.6832042935105107,1.297383633899592,1.3969651067624493,VAR
30,39,34,train,10,False,1.6442999540915586,1.2823025984889675,1.3711485857743433,VAR
31,40,35,train,10,False,1.6774696912649492,1.295171684088619,1.359694355096786,VAR
32,41,36,train,10,False,1.8987650220478405,1.377956828804096,1.4866317502224982,VAR
33,42,37,train,10,False,1.6865602586724644,1.2986763486998847,1.3351387546675024,VAR
34,43,38,train,10,False,1.8794977848916343,1.3709477688415537,1.154089753762721,VAR
