j_fourier,lambda_objetivo,var_empirica,var_ratio,var_acum,phi_objetivo,acf1_empirica,es_predecible
1,1.0,0.9647354616100007,0.5072967938539857,0.5072967938539857,0.0,-0.013998183008983024,False
2,0.5,0.4803254080191881,0.25257446128091593,0.7598712551349017,0.0,0.02791957927245165,False
3,0.25,0.20294637612937863,0.10671738526425034,0.8665886403991521,0.9,0.8643584389278697,True
4,0.125,0.12819021347035744,0.06740758154410961,0.9339962219432616,0.0,-0.007238978924532461,False
5,0.0625,0.06641026917144661,0.034921196504409516,0.9689174184476711,0.0,0.052452182412452475,False
6,0.03125,0.030028129132358528,0.015790000720878484,0.9847074191685495,0.0,0.06524226238399211,False
7,0.015625,0.016033765971302173,0.008431200463049727,0.9931386196315993,0.0,0.005642861318976473,False
8,0.0078125,0.007021225744844694,0.0036920435197236178,0.996830663151323,0.0,-0.01671869401525319,False
9,0.00390625,0.004072255256971706,0.0021413559652603636,0.9989720191165833,0.0,0.03337966154798565,False
10,0.001953125,0.0019549297848996407,0.0010279808834166826,1.0,0.0,-0.07600845393006639,False
