t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,modelo
2,41,21,train,40,False,2.8305765167178665,1.6824317272085267,1.0141047350503667,VAR
3,42,22,train,40,False,2.6913171483011036,1.640523437291008,1.0038005895182147,VAR
4,43,23,train,40,False,2.6243624913341543,1.6199884232099173,1.002836290912957,VAR
5,44,24,train,40,False,2.614983608303967,1.6170910946214399,1.0023944207101378,VAR
6,45,25,train,40,False,2.6034397251408086,1.6135178106053891,0.9984914007867599,VAR
7,46,26,train,40,False,2.662534921151784,1.6317275879115927,1.003559030442557,VAR
8,47,27,train,40,False,2.819498955766814,1.6791363719980619,1.0062539293730257,VAR
9,48,28,train,40,False,2.7963631578538446,1.6722329855178208,1.0089995704285468,VAR
10,49,29,train,40,False,2.8250446696836997,1.6807869197740979,1.010714215676493,VAR
11,50,30,train,40,False,2.952375957292934,1.7182479324279525,1.0083295325728678,VAR
12,51,31,train,40,False,2.9669122441598983,1.7224727121669876,1.0044205316379202,VAR
13,52,32,train,40,False,2.9925601736872633,1.7299017815145643,1.0026273485142734,VAR
14,53,33,train,40,False,2.985871492613306,1.7279674454726588,1.001486016254407,VAR
15,54,34,train,40,False,3.090003518082188,1.7578405838079254,1.0022313666868703,VAR
16,55,35,train,40,False,3.1138018618535352,1.7645967986635176,1.0026387560119934,VAR
17,56,36,train,40,False,3.108732663089172,1.7631598518254583,1.004251220937817,VAR
18,57,37,train,40,False,3.1038342979634495,1.7617702171291947,1.0038310645680648,VAR
19,58,38,train,40,False,3.067374057988128,1.7513920343509983,1.0037863759477141,VAR
20,59,39,train,40,False,3.0641465253515534,1.7504703726003343,1.0051191066786298,VAR
21,60,40,train,40,False,3.180770784565903,1.7834715541790687,1.0084624671241469,VAR
22,61,41,train,40,False,3.2388287779204603,1.7996746311265435,1.0082128997732456,VAR
23,62,42,train,40,False,3.19694603752544,1.7880005697777168,1.0095773230738598,VAR
24,63,43,train,40,False,3.1424228006126103,1.7726880155889277,1.0066564584243285,VAR
25,64,44,train,40,False,3.098130290204561,1.7601506441792307,1.0062049852514834,VAR
26,65,45,train,40,False,3.0801350508591554,1.7550313532410626,1.007842751205446,VAR
27,66,46,train,40,False,3.153492307791649,1.775807508653922,1.0100763236470052,VAR
28,67,47,train,40,False,3.229258137306586,1.7970136719865506,1.0060552406986514,VAR
29,68,48,train,40,False,3.2103898862091187,1.7917560900438203,1.0115276835180547,VAR
30,69,49,train,40,False,3.219380598016066,1.7942632465767296,1.0129933164189417,VAR
31,70,50,train,40,False,3.1251336760052304,1.767804761845954,1.0190854907683635,VAR
32,71,51,train,40,False,3.058496516308305,1.7488557734439696,1.0313116263735695,VAR
33,72,52,train,40,False,2.7734649384545014,1.6653723122636876,1.0584012620417504,VAR
34,73,53,train,40,False,2.552340635222317,1.5976046554834262,1.1043312042622278,VAR
35,74,54,train,40,False,2.3014688731731177,1.5170592846600022,1.072355903805306,VAR
36,75,55,train,40,False,2.200393698698723,1.4833724072864247,1.0597799682546356,VAR
37,76,56,train,40,False,2.3918114559275905,1.5465482391207817,1.0546246406354272,VAR
38,77,57,train,40,False,2.4142602379822167,1.5537889940343306,1.0159647418864175,VAR
39,78,58,train,40,False,2.4494404657584434,1.565068837386536,1.0092013952179777,VAR
40,79,59,train,40,False,2.485140365333075,1.5764327975949608,1.0224451272226274,VAR
41,80,60,train,40,False,2.578100783864369,1.605646531421025,1.010202030999679,VAR
42,81,61,train,40,False,2.5412549867769987,1.5941314207984858,1.0004500866229518,VAR
43,82,62,train,40,False,2.6533802402101494,1.628919961265792,1.011137940859204,VAR
44,83,63,train,40,False,2.8451634847027796,1.686761241166864,1.0059756628941747,VAR
45,84,64,train,40,False,3.1335446116003376,1.7701820843066787,1.017891989743354,VAR
46,85,65,train,40,False,3.21743405644942,1.7937207297819302,1.0179903643900057,VAR
47,86,66,train,40,False,3.273047088515631,1.8091564577215622,1.03191104106448,VAR
48,87,67,train,40,False,3.2570626634907214,1.8047334051019064,1.0257132170726608,VAR
49,88,68,train,40,False,3.239680029679987,1.7999111171610633,1.0191394105818226,VAR
50,89,69,train,40,False,3.2421033937677053,1.8005841812499923,1.0192011324683499,VAR
51,90,70,train,40,False,3.1044027557161007,1.761931541154792,1.006891487845034,VAR
52,91,71,train,40,False,3.0731065932102672,1.7530278358344078,1.004465135177747,VAR
53,92,72,train,40,False,3.0482602188320826,1.745926750706364,1.003543188061065,VAR
54,93,73,train,40,False,3.0619289964650687,1.7498368485276188,1.0020818599877657,VAR
55,94,74,train,40,False,2.929593163603058,1.711605434556416,1.010076575463428,VAR
56,95,75,train,40,False,2.9028935454644276,1.7037879989788716,1.0071723008035045,VAR
57,96,76,train,40,False,2.9086036670408575,1.7054628893766224,1.004728606777557,VAR
58,97,77,train,40,False,2.9310532968582703,1.7120319205138292,1.0053378607621803,VAR
59,98,78,train,40,False,2.9561230530811335,1.7193379694176283,1.0060733205958299,VAR
60,99,79,train,40,False,2.9101476264510158,1.7059154804535352,1.0001140460477407,VAR
61,100,80,train,40,False,2.8220549443496017,1.679897301726984,1.0112546465117966,VAR
