t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,mise,rmse_f,mise_rel,cobertura_puntual,ancho_medio
2,21,11,train,20,False,2.4626638739046127,1.5692876963465343,0.7296996714502993,0.98,6.4072336840201585
3,22,12,train,20,False,2.399711997548079,1.549100383302541,0.7643707699227701,0.9806666666666667,6.37342797551542
4,23,13,train,20,False,2.524643057057409,1.5889125391466357,0.8134910241880844,0.9806666666666667,6.453392471875749
5,24,14,train,20,False,2.617804460593982,1.6179630590943608,0.8675574546894227,0.9806666666666667,6.516532198273252
6,25,15,train,20,False,2.841611617666725,1.6857080463908112,0.9498480812183958,0.9813333333333333,6.567410993597776
7,26,16,train,20,False,2.823941631275565,1.6804587561959279,0.9754621941499673,0.9813333333333333,6.641474219417498
8,27,17,train,20,False,2.8188223278454947,1.6789348789769944,1.0165194296067754,0.9813333333333333,6.652370383701748
9,28,18,train,20,False,3.037006877096369,1.7427010291775147,0.994309799736357,0.9813333333333333,6.651020626074153
10,29,19,train,20,False,3.000182476254483,1.7321034831252096,0.993852954700664,0.9813333333333333,6.583419709598197
11,30,20,train,20,False,3.0427998600860113,1.7443623075743213,0.9459169804785879,0.9813333333333333,6.560428098641638
12,31,21,train,20,False,3.043111527377172,1.7444516408823638,0.9076144283393385,0.9813333333333333,6.508092007737772
13,32,22,train,20,False,3.154549173962899,1.776105057130039,0.918509600097988,0.9626666666666667,6.467689626597785
14,33,23,train,20,False,2.8639709735294785,1.6923270882218597,0.7859257586015116,0.9626666666666667,6.403071048827002
15,34,24,train,20,False,2.844174619777174,1.6864680903524898,0.7728890212967157,0.9626666666666667,6.293032393581155
16,35,25,train,20,False,2.7969155743114884,1.67239815065417,0.7645472518726516,0.9626666666666667,6.27129713620825
17,36,26,train,20,False,2.469729971639364,1.5715374547364005,0.7606467647502104,0.9626666666666667,6.282217003573365
18,37,27,train,20,False,2.42877231921947,1.5584518982693916,0.8937668886958479,0.9626666666666667,6.296716295818567
19,38,28,train,20,False,2.3667871400212173,1.5384365895353689,0.8678552979148935,0.9626666666666667,6.2868811151093205
20,39,29,train,20,False,2.341340065421208,1.5301438054709786,0.8594972881603135,0.9626666666666667,6.291805720694345
21,40,30,train,20,False,2.3637018917477324,1.537433540595408,0.7811984375927254,0.9626666666666667,6.291477846232224
22,41,31,train,20,False,2.3305973159602384,1.5266293970575302,0.566099619592206,0.9526666666666667,6.297419049515707
23,42,32,train,20,False,2.308467896872171,1.5193643068310414,0.5056438548915103,0.9526666666666667,6.346081191869203
24,43,33,train,20,False,2.2376197863849,1.4958675698018524,0.5272642225574061,0.9526666666666667,6.3369609402130775
25,44,34,train,20,False,2.308441155570839,1.5193555066444584,0.4917011187103827,0.9526666666666667,6.345588715712336
26,45,35,train,20,False,2.1149581859142272,1.4542895811750243,0.47275898647044856,0.9666666666666667,6.320850298210624
27,46,36,train,20,False,2.3400100895975777,1.5297091519624173,0.5164078031982884,0.9633333333333334,6.357264210421912
28,47,37,train,20,False,2.350178327934171,1.53302913473103,0.5194421809927658,0.9633333333333334,6.342523004199519
29,48,38,train,20,False,2.1635931096196184,1.4709157384499012,0.494686038045818,0.9633333333333334,6.350010637147956
30,49,39,train,20,False,2.4597794061747638,1.568368389816233,0.5512655464089863,0.9633333333333334,6.429710107866061
31,50,40,train,20,False,2.3082779403748384,1.519301793711453,0.5468531532360481,0.9633333333333334,6.41825739809455
32,51,41,train,20,False,2.3701416784279035,1.5395264461606053,0.5674825088205085,0.9633333333333334,6.488537405023088
33,52,42,train,20,False,2.3797613257549797,1.5426475053475373,0.6518412345108177,0.982,6.5277377091797435
34,53,43,train,20,False,2.399338019290277,1.548979670392829,0.7213797260284242,0.982,6.56749363696469
35,54,44,train,20,False,2.681865158235891,1.6376401186572984,0.727513007586315,0.9566666666666667,6.681329257006754
36,55,45,train,20,False,2.7455102722107516,1.6569581383398773,0.6638039915796523,0.9566666666666667,6.6314095868114125
37,56,46,train,20,False,2.7295711830988716,1.6521413931921418,0.6440700824332419,0.9566666666666667,6.540810830472829
38,57,47,train,20,False,2.778937823125747,1.6670146439446016,0.6186775196261087,0.9566666666666667,6.510369687581825
39,58,48,train,20,False,2.8577829994857797,1.6904978555105534,0.5864755899576575,0.9566666666666667,6.476743328029967
40,59,49,train,20,False,2.561025789547913,1.6003205271282104,0.5908421572338536,0.9566666666666667,6.36416572944948
41,60,50,train,20,False,2.625695372133976,1.6203997568914825,0.6553349002318914,0.9566666666666667,6.3465369061497965
42,61,51,train,20,False,2.2733560555842587,1.50776525214778,0.786914700224439,0.9713333333333334,6.2960971754805115
43,62,52,train,20,False,2.2711291013273645,1.5070265761848278,0.9822572326100288,0.9713333333333334,6.2894526903459855
44,63,53,train,20,False,2.1849281483539276,1.4781502455278108,0.9705110185501455,0.9713333333333334,6.249365054957096
45,64,54,train,20,False,2.0159930650376046,1.4198567058114013,1.2528711611461705,0.9713333333333334,6.231982870518872
46,65,55,train,20,False,1.9757570511025082,1.4056162531439753,0.8723782663509041,0.9713333333333334,6.245101044745537
47,66,56,train,20,False,1.763258288132738,1.3278773618571627,0.7338644954649898,0.9746666666666667,6.234879830742159
48,67,57,train,20,False,1.8437832968996617,1.3578598222569447,0.6286092718655121,0.9746666666666667,6.286088882675696
49,68,58,train,20,False,1.818160017898639,1.348391641140896,0.5805084017409443,0.9746666666666667,6.297271554668017
50,69,59,train,20,False,1.503834789594323,1.22630941837463,0.46103253163911817,0.9746666666666667,6.298428358934138
51,70,60,train,20,False,1.5793800941253382,1.256733899489203,0.4290831211549124,0.9746666666666667,6.334993676658535
52,71,61,train,20,False,1.7289752646844767,1.314905040177608,0.41917554419424924,0.9746666666666667,6.3202956422542025
53,72,62,train,20,False,1.690626197360433,1.3002408228326139,0.3503556311618472,0.9746666666666667,6.302142824078945
54,73,63,train,20,False,2.012543642057042,1.418641477631696,0.35348590510559175,0.9546666666666667,6.342490521912144
55,74,64,train,20,False,1.824504125724102,1.3507420648384731,0.32848911297129546,0.978,6.346545642218752
56,75,65,train,20,False,2.2034956712414795,1.484417620227367,0.39222755281953325,0.9513333333333334,6.429401874761053
