experiment_id,escenario_4_r01
escenario_id,4
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
nivel,0.95
S_scores,45000
S_funcional,500
rmse_scores_train,0.9131053268747048
rmse_scores_test,0.9326330610473382
r2_scores_test,0.12757599097650738
crps_scores_test,0.4972076241514151
mise_train,1.0434844540551103
mise_test,0.9544392694846521
mise_truncamiento_test,0.04386328516985504
energy_test,5.145817341635933
cobertura_puntual_test,0.9464444444444444
fpc_decisiva,2
asim_predictiva,-0.43993934988975525
asim_residuo_realizado,-1.2598395853060855
asim_score_generador,-0.6129604026719377
fraccion_asimetria_recuperada,0.34920267232504
curt_predictiva,4.901876926422119
curt_residuo_realizado,11.320151830162146
pit_media_test,0.49694358024691354
pit_ks_test_max,0.10402222222222224
asim_innovacion_generador,0.9014014201719268
curt_innovacion_generador,5.2480910763894535
comparacion_de_referencia,escenario_1_r01
