componente,t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,rmse,mae,r2_local,sd_obs,sd_pred,crps,cobertura,ancho
FPC 1,2,21,11,train,20,False,1.0576522056802278,0.8929360995273704,0.28170884417437836,1.2803562247621858,0.6003534923529078,0.6197003068677563,0.9,3.366181530430913
FPC 1,3,22,12,train,20,False,1.0444335218513094,0.8797235274918842,0.2274645625309314,1.219157443450768,0.624810102867412,0.6083297286072435,0.9,3.418770460039377
FPC 1,4,23,13,train,20,False,1.0361475854012718,0.8527893480830514,0.23851379796268313,1.2182286177391255,0.5934420377556647,0.5994139612318188,0.9,3.3876697916537517
FPC 1,5,24,14,train,20,False,1.071617038130255,0.9092512450425323,0.22072422664252767,1.2454669858484135,0.5920709093001951,0.6301169851576788,0.9,3.3871555433422325
FPC 1,6,25,15,train,20,False,0.9841046519980928,0.8303388928170505,0.2511343189719141,1.1667492167915618,0.6115445162979317,0.5697699223512032,0.95,3.400270102843643
FPC 1,7,26,16,train,20,False,0.9379808482705381,0.7890693616781628,0.3203252962253489,1.1672976604380974,0.5770172511140104,0.5379642845778138,0.95,3.391400628834963
FPC 1,8,27,17,train,20,False,0.9212564467935019,0.7690824011702706,0.3239147708961907,1.1495239219314168,0.5756842872557836,0.524854195054971,0.95,3.3902984839677806
FPC 1,9,28,18,train,20,False,0.9147657877791003,0.7588853961315358,0.33856133930529975,1.153993395280865,0.5653778988649519,0.5193963612225037,0.95,3.393713279515505
FPC 1,10,29,19,train,20,False,0.916942025916307,0.7621954236143472,0.35348952854729,1.1700173279148316,0.56758563944981,0.5215020597039122,0.95,3.3901152825355525
FPC 1,11,30,20,train,20,False,0.9096125378160803,0.7494110860095022,0.3613915267152277,1.1678237330819734,0.5758312949800335,0.5154342878273785,0.95,3.3835190987586983
FPC 1,12,31,21,train,20,False,0.9004488640696119,0.739533746283896,0.33388112360954547,1.1319347204918961,0.5745014389378292,0.5082243589828305,0.95,3.3854337272048007
FPC 1,13,32,22,train,20,False,0.9020213601190804,0.7460759475609098,0.31644279547409926,1.1193543380942743,0.5533198747569787,0.5096118993727481,0.95,3.390918027758598
FPC 1,14,33,23,train,20,False,0.8065111221531938,0.6756041048160611,0.2427076879165817,0.9508604510757942,0.5469455655880721,0.4537562300893838,1.0,3.3955363215506074
