componente,t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,rmse,mae,r2_local,sd_obs,sd_pred,crps,cobertura,ancho,winkler,picp,mpiw
FPC 1,2,21,11,train,20,False,0.5431957489461003,0.422236613116838,0.13183403020467832,0.5981266878115699,0.30409741743434365,0.3040700930068218,0.9,1.9576330032944678,2.7274525642234684,0.9,1.9576330032944678
FPC 1,3,22,12,train,20,False,0.5440262354169351,0.424280671766925,0.15333979312110924,0.6066014820289817,0.30338509583764744,0.30483993265513576,0.9,1.9605234097689386,2.730342970697939,0.9,1.9605234097689386
FPC 1,4,23,13,train,20,False,0.5377946364929554,0.4092731200686333,0.19662121639221586,0.6155941510848204,0.3077070729509825,0.2993856230814095,0.9,1.9606298844516274,2.7304494453806276,0.9,1.9606298844516274
FPC 1,5,24,14,train,20,False,0.5407895587840161,0.4199003620165388,0.1882937856438801,0.615838817497439,0.3122733665502676,0.3019024811684887,0.9,1.9614167830348013,2.731236343963802,0.9,1.9614167830348013
FPC 1,6,25,15,train,20,False,0.5628420689496121,0.4387808508013644,0.15331058101186756,0.6275707330258768,0.31239687939895494,0.3172561506981745,0.9,1.9600521432608364,2.729871704189837,0.9,1.9600521432608364
FPC 1,7,26,16,train,20,False,0.5584245101616304,0.4311205292602024,0.1403362997544353,0.6179287116298134,0.3184038664072666,0.3132799635885501,0.9,1.9606424286216497,2.7304619895506503,0.9,1.9606424286216497
FPC 1,8,27,17,train,20,False,0.556631606078989,0.4278099909431682,0.14393638271775688,0.6172385462976897,0.3134792074357675,0.3114450382165372,0.9,1.9582772446423768,2.728096805571377,0.9,1.9582772446423768
FPC 1,9,28,18,train,20,False,0.5139543277938182,0.4038517711149442,0.20259569773222963,0.5905048072630514,0.3131366211627487,0.28889524683395795,0.95,1.9558372383564708,2.273796711021715,0.95,1.9558372383564708
FPC 1,10,29,19,train,20,False,0.4706985254360207,0.37109755277709977,0.10873576365121562,0.5115378751429897,0.2996659521181715,0.26398818765705706,0.95,1.9523147212713954,2.2702741939366393,0.95,1.9523147212713954
FPC 1,11,30,20,train,20,False,0.46189224601206713,0.35815072405833226,0.1411517995634204,0.5113528301713333,0.26003930541033654,0.25756493455864315,0.95,1.9430556596070523,2.2610151322722967,0.95,1.9430556596070523
FPC 1,12,31,21,train,20,False,0.4041020908359147,0.3291269597354124,0.2364912150835543,0.47448476851423943,0.2599365717390072,0.2311183348481476,1.0,1.939838245362043,1.939838245362043,1.0,1.939838245362043
FPC 1,13,32,22,train,20,False,0.4242469242768202,0.33973422158054367,0.18862213502664715,0.48322046839124766,0.2414689612415487,0.2411525144906394,1.0,1.932571621984243,1.932571621984243,1.0,1.932571621984243
FPC 1,14,33,23,train,20,False,0.42765721445486393,0.3513634667960077,0.23326451447562468,0.5010847879013175,0.24616534972572407,0.24327692792134115,1.0,1.929238817542791,1.929238817542791,1.0,1.929238817542791
FPC 1,15,34,24,train,20,False,0.4484683012015903,0.3631114493357154,0.17079668530312286,0.5052885232584867,0.25529516223469584,0.25342171587917095,1.0,1.9297604425996535,1.9297604425996535,1.0,1.9297604425996535
FPC 1,16,35,25,train,20,False,0.4852012290323629,0.39033866310862064,0.15558205426555116,0.5417280986715494,0.25743527920451764,0.27456785687494695,1.0,1.9311812324821944,1.9311812324821944,1.0,1.9311812324821944
FPC 1,17,36,26,train,20,False,0.49101563379526886,0.401728454722803,0.12408222533909907,0.5382720727164638,0.2758296926978394,0.2792785616321078,1.0,1.9361368019878857,1.9361368019878857,1.0,1.9361368019878857
FPC 1,18,37,27,train,20,False,0.5244534496109383,0.4361050098367736,0.09662937443140907,0.5661247753261793,0.27406271282319594,0.3015735329901065,1.0,1.935482850298285,1.935482850298285,1.0,1.935482850298285
FPC 1,19,38,28,train,20,False,0.5219423400269984,0.4276623689065742,0.12175819761809836,0.5714176796287306,0.28822821180140534,0.2998011019296153,1.0,1.9377610618621106,1.9377610618621106,1.0,1.9377610618621106
FPC 1,20,39,29,train,20,False,0.5461432781484848,0.4583506856520967,0.11692378460948083,0.5962737577454894,0.29093648295663443,0.3179937798127758,1.0,1.9385434210300438,1.9385434210300438,1.0,1.9385434210300438
FPC 1,21,40,30,train,20,False,0.5596169671906804,0.4817515355920573,0.1330038456769349,0.6166240868383183,0.3035629901352519,0.32891080749384477,1.0,1.9397104903683062,1.9397104903683062,1.0,1.9397104903683062
FPC 1,22,41,31,train,20,False,0.5534162675579221,0.47127577457826586,0.1513573146764986,0.6163504000592633,0.3138791223598926,0.3238226720150428,1.0,1.941506111361086,1.941506111361086,1.0,1.941506111361086
FPC 1,23,42,32,train,20,False,0.5584134303520706,0.4797864625876673,0.15843992133865092,0.6245273892124127,0.3137348729340811,0.32798703682494906,1.0,1.94035735938698,1.94035735938698,1.0,1.94035735938698
FPC 1,24,43,33,train,20,False,0.5693720597240096,0.501196429250949,0.10500530097938698,0.6174817373708329,0.3179284378690188,0.33728184535240013,1.0,1.941605718173086,1.941605718173086,1.0,1.941605718173086
FPC 1,25,44,34,train,20,False,0.5836135134373961,0.5197121971184158,0.12636686394631658,0.6406177793501504,0.3143301160843788,0.34896088046430335,1.0,1.9423093708232042,1.9423093708232042,1.0,1.9423093708232042
FPC 1,26,45,35,train,20,False,0.5651223259561,0.5040076043794588,0.2326289942464841,0.661878035915281,0.32616275649622944,0.3361601240097346,1.0,1.9436764125153416,1.9436764125153416,1.0,1.9436764125153416
