componente,t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,rmse,mae,r2_local,sd_obs,sd_pred,crps,cobertura,ancho,winkler,picp,mpiw
FPC 1,2,21,11,train,20,False,0.8689398095919132,0.7243580407031099,0.1550308121437889,0.9698564435959429,0.46374900214281173,0.4924724430081947,0.95,3.373342066407203,4.351569263836112,0.95,3.373342066407203
FPC 1,3,22,12,train,20,False,0.8580655743841324,0.6944561101027361,0.15406132696514496,0.9571703473617158,0.48940751945175653,0.4845037721871382,0.95,3.3789993087947368,4.357226506223645,0.95,3.3789993087947368
FPC 1,4,23,13,train,20,False,0.8574605567498407,0.6912919253075974,0.11903278107990545,0.9372867436774195,0.4829921736585551,0.48366412490684985,0.95,3.3761097121238706,4.35433690955278,0.95,3.3761097121238706
FPC 1,5,24,14,train,20,False,0.7163008063724569,0.6107527244720014,0.29555195687286395,0.8756068569307326,0.4729160539331684,0.4160827016019294,1.0,3.3711140230298042,3.3711140230298042,1.0,3.3711140230298042
FPC 1,6,25,15,train,20,False,0.705996147428173,0.5954192613277898,0.32508183393545353,0.8816880805000475,0.4420099665786486,0.40955422914133266,1.0,3.3586879955232134,3.3586879955232134,1.0,3.3586879955232134
FPC 1,7,26,16,train,20,False,0.6853880424482275,0.558038695414394,0.35577744542226897,0.8761062082284848,0.4450844361578903,0.39606260260721976,1.0,3.358602893799543,3.358602893799543,1.0,3.358602893799543
FPC 1,8,27,17,train,20,False,0.7541595774966219,0.5982714422597879,0.33439713901103774,0.9484050506433075,0.44221505692844787,0.42997867705265164,1.0,3.354448949247599,3.354448949247599,1.0,3.354448949247599
FPC 1,9,28,18,train,20,False,0.83459676217779,0.6698830088544654,0.40472356183250313,1.1098276650466468,0.4784117031968609,0.47509340873884137,1.0,3.365519951432943,3.365519951432943,1.0,3.365519951432943
FPC 1,10,29,19,train,20,False,0.817327953592393,0.6367493748505737,0.46310474954996417,1.1444314099071833,0.558542119414739,0.46523700054103073,1.0,3.401969856768846,3.401969856768846,1.0,3.401969856768846
FPC 1,11,30,20,train,20,False,0.7986039229098085,0.6181462286880341,0.47507189547978,1.130888333624312,0.5760377034568119,0.4529600276587802,1.0,3.409117961376905,3.409117961376905,1.0,3.409117961376905
FPC 1,12,31,21,train,20,False,0.8141989962473708,0.6292857438536967,0.4320308428503591,1.1084251817249828,0.569153094555204,0.4613350157904981,1.0,3.407344326376914,3.407344326376914,1.0,3.407344326376914
FPC 1,13,32,22,train,20,False,0.8245415995843078,0.651531885655032,0.40424661724829125,1.0960175549583493,0.5578119147587108,0.46863810247193405,1.0,3.414500785320997,3.414500785320997,1.0,3.414500785320997
FPC 1,14,33,23,train,20,False,0.8231261172671422,0.644635496983911,0.4048906291588197,1.0947278953064155,0.5514991595535204,0.46752262793649957,1.0,3.416623626351356,3.416623626351356,1.0,3.416623626351356
FPC 1,15,34,24,train,20,False,0.8092477522925807,0.636752622159291,0.36732604268368807,1.0438298694950308,0.5508460724914774,0.45992876585074843,1.0,3.419971208125353,3.419971208125353,1.0,3.419971208125353
