componente,t_ini,t_fin,t_centro,bloque,n_ventana,cruza_T0,rmse,mae,r2_local,sd_obs,sd_pred,crps,cobertura,ancho
FPC 1,2,21,11,train,20,False,0.10058068964199915,0.08262563720978247,0.7778472477577224,0.21894092943932078,0.21724202887366237,0.053252816513487164,0.95,0.4293276441097259
FPC 1,3,22,12,train,20,False,0.09883937307805749,0.07947792925976263,0.7887970348843858,0.2206572360530453,0.21697380563040777,0.05255941439275789,0.95,0.4291644535958767
FPC 1,4,23,13,train,20,False,0.09851417087678861,0.07919619169829135,0.7797241499822845,0.21535425696567384,0.2176556478184471,0.05267621368944503,0.95,0.428716828674078
FPC 1,5,24,14,train,20,False,0.09463786172110818,0.07413563074751209,0.780304750802365,0.20715374244758525,0.21192143042295544,0.050795717751923965,0.95,0.4284067276120185
FPC 1,6,25,15,train,20,False,0.08691106975242054,0.07038676036706697,0.7124477108943991,0.16628569052937078,0.20080575333772457,0.0479349986084976,1.0,0.42755719073116777
FPC 1,7,26,16,train,20,False,0.09282310103988274,0.07727220692312944,0.36924013093330166,0.11991188868702837,0.16044541521402284,0.05118696831404294,1.0,0.4274869407713413
FPC 1,8,27,17,train,20,False,0.08689045361555277,0.07310786426797472,0.29151608068633295,0.10591202292205837,0.11889100162709498,0.046615077937057756,1.0,0.4270875176787377
FPC 1,9,28,18,train,20,False,0.09126617986148437,0.07834546176966647,0.2558566721246651,0.10854748709863733,0.10565006261710087,0.0499196461990638,1.0,0.426736309826374
FPC 1,10,29,19,train,20,False,0.09160132311218869,0.07941932709579567,0.5169075769550826,0.13521498712929572,0.11668426539128339,0.050314595126138076,1.0,0.42664598144590854
FPC 1,11,30,20,train,20,False,0.09075220030155585,0.07759999291489797,0.6447892490111966,0.15622563902814127,0.1309874989182796,0.05006541972368099,1.0,0.4260908829048276
FPC 1,12,31,21,train,20,False,0.09114032294866765,0.07897618884862631,0.7114867566327534,0.17408681671020218,0.14588420127519766,0.05017598332893981,1.0,0.4251920494809747
FPC 1,13,32,22,train,20,False,0.09180300170219864,0.08043760635530464,0.7615584709880827,0.19288752029417855,0.16760265402820917,0.05071799399284131,1.0,0.4251115730404854
FPC 1,14,33,23,train,20,False,0.09390999453439382,0.08381100430270859,0.7844633475303697,0.2075340903930459,0.1876158145255017,0.05226972440057411,1.0,0.4250193786248565
FPC 1,15,34,24,train,20,False,0.09310841853291903,0.08233056553290456,0.8175090286636453,0.22361784407980817,0.20091726133913962,0.05134257805543572,1.0,0.425135133676231
FPC 1,16,35,25,train,20,False,0.09435073148141385,0.08399216240218385,0.8358469116898423,0.23892353952908826,0.22029646706340744,0.05241797055410301,1.0,0.4254537400044501
FPC 1,17,36,26,train,20,False,0.088005999517545,0.0768360743941047,0.8761112833460234,0.25652789650851165,0.23496578753421252,0.048756527296520205,1.0,0.4257424116134644
FPC 1,18,37,27,train,20,False,0.08696396719287863,0.07531953663566533,0.8908104046709583,0.27001439176188025,0.249938526840307,0.04831657017133499,1.0,0.4261242674849927
FPC 1,19,38,28,train,20,False,0.08284400163558021,0.07205468455936556,0.9026136472699481,0.27236432087999823,0.2591881172780371,0.04634952476133371,1.0,0.4257076827995479
FPC 1,20,39,29,train,20,False,0.08199100412124319,0.07115791068246906,0.9036392381986844,0.27099063967618925,0.26170805521467405,0.04617847590852093,1.0,0.42527006447315224
FPC 1,21,40,30,train,20,False,0.08014322001917186,0.06848774990096225,0.9063088722460837,0.26863076678601316,0.25715896884318457,0.04539797229568164,1.0,0.42528904622420677
FPC 1,22,41,31,train,20,False,0.07726445719667656,0.06520974359804237,0.9145485320149209,0.27118033400101227,0.25869158315901675,0.044035931387492816,1.0,0.42454414270818236
FPC 1,23,42,32,train,20,False,0.0771163433120137,0.06453440672582558,0.9199984376203608,0.2797276463494463,0.261023841458316,0.04379420826450952,1.0,0.42404807695653285
FPC 1,24,43,33,train,20,False,0.07333355751093833,0.06052700733744511,0.9273456170235255,0.2791322662932133,0.26620472493586395,0.04208924729052549,1.0,0.423898828458041
